{'短评内容': '性价比还好', '短评打分': 3}
{'短评内容': '没有早餐  但性价比还是比较高的', '短评打分': 3}
{'短评内容': '房子里尽然没有洗发水沐浴露之类的还需要去和服务员去要，灯光很暗，装修时间比较久了整体环境感觉没有那么的干净！', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '酒店服务好', '短评打分': 5}
{'短评内容': '环境很好  很安逸很舒服', '短评打分': 5}
{'短评内容': '一个老旧安静的住所，交通还算便利', '短评打分': 4}
{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '环境还可以，安静、干净。也很方便，只是客服态度不是很好，有待加强', '短评打分': 5}
{'短评内容': '因为安排在那边考试，所以选择这个地方。很方便，也很安静。不错的选择。', '短评打分': 5}
{'短评内容': '先扣了钱问后才知道不是预售权 同时还收了100押金 问了酒店说直接扣钱态度还很不好', '短评打分': 2}
{'短评内容': '很舒服！很实惠！就是标间床有点窄', '短评打分': 5}
{'短评内容': '协和酒店环境优美，停车方便，价格事宜，服务人员态度好', '短评打分': 5}
{'短评内容': '环境好，设备齐全，下次还会定', '短评打分': 5}
{'短评内容': '酒店整体环境还可以，但性价比不高，188一晚的价格在西安多的是更好的。最不满意的是酒店的服务，冷冰冰的，一点都不好。要不是上高速方便，停车比较方便都不会住。', '短评打分': 1}
{'短评内容': '宾馆条件和设施都很好，我们很满意。就是总台的服务员态度不好，美中不足。', '短评打分': 5}
{'短评内容': '干净 安静 位置也不错 就是夏秋天蚊子多了点 希望能提供蚊香', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '觉得还行，在这个宾馆开会，算是便利吧。条件一般般。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '是招待所改建的，暖气挺足的，各方面还都可以，对的起这个价格。', '短评打分': 5}
{'短评内容': '房间挺大的，装修比较新，环境挺安静的,在城的西边，离鼓楼打车15元左右，离大雁塔也不远', '短评打分': 5}
{'短评内容': '太差了，边找都找不到，网上留的电话在非上班时间无法接通。', '短评打分': 1}
{'短评内容': '宾馆在胡同里边，很安静，不过打车要走出来。', '短评打分': 5}
{'短评内容': '隔音效果不好，宾馆的自备发电机很差，停电后不能发挥作用，厕所不干净。', '短评打分': 1}
{'短评内容': '酒店里的中央空调很好用，而且温都总保持的很适宜，环境不错，很安静，住着很舒服', '短评打分': 5}
{'短评内容': '房间卫生条件不错，蛮干净的，装修的风格很喜欢，住着很舒服', '短评打分': 5}
{'短评内容': '酒店有专门的停车场，感觉很方便', '短评打分': 5}
{'短评内容': '服务很好，整理房间时服务员素质很高，从不碰客人的东西，感觉很安全', '短评打分': 5}
{'短评内容': '硬件和软件条件还不错,就是服务方面显得略有不足,不过室内环境还行住起来挺舒适的.', '短评打分': 5}
{'短评内容': '酒店的环境不错，装修风格我也很喜欢，有停车场适合自驾客人。', '短评打分': 5}
{'短评内容': '服务很不错，员工很热情帮忙提行李。有需要帮忙的就和她们打声招呼，她们会很乐意帮忙。', '短评打分': 5}
{'短评内容': '这家店是空军下属的宾馆，安全很有保障。配置硬件齐全达标。', '短评打分': 5}
{'短评内容': '酒店在巷子里面，晚上休息很安静。第一次过去的话可能不是很好找。', '短评打分': 5}
{'短评内容': '卫生很好，很干净。服务热情，性价比还不错可以推荐入住。', '短评打分': 5}
