{'短评内容': '只是住晚上，一般', '短评打分': 4}
{'短评内容': '卫生间太差', '短评打分': 5}
{'短评内容': '有中央空调就是不制冷，服务员说只送自然风。', '短评打分': 3}
{'短评内容': '早餐收钱了，但是没有，卫生不好，有老鼠，老鼠晚上还上我床了，抓伤我了，但是宾馆前台不信，还说我瞎说，110一晚上，就是这种环境，想要好的，住星级宾馆去。', '短评打分': 1}
{'短评内容': '普普通通吧，前台服务一般', '短评打分': 4}
{'短评内容': '位置很好，去市场很近，就是空调不行，太吵了，声音太大，睡不好，中途换了个房间，还是比较大的声音，不开空调又冷，有点无奈', '短评打分': 4}
{'短评内容': '环境太差了', '短评打分': 5}
{'短评内容': '酒店环境差，马路边比较吵，而且空调连风扇都不如。热的要命。', '短评打分': 3}
{'短评内容': '房间还是挺大的，虽然第一次住这个宾馆，但总体来说还是很不错的，价格也适中，位置也不错', '短评打分': 5}
{'短评内容': '酒店还可以，交通方便！', '短评打分': 5}
{'短评内容': '不错 很好 价格不贵 环境很好而且带早餐', '短评打分': 5}
{'短评内容': '空调不能用', '短评打分': 3}
{'短评内容': '还OK,离市场方便', '短评打分': 3}
{'短评内容': '一般 价格便宜 房间小 还好没虫', '短评打分': 2}
{'短评内容': '离商贸城很近  ，距离义乌国际会展中心也不远，商旅可以考虑。', '短评打分': 3}
{'短评内容': '酒店很不错!卫生和设计装修都好!就是服务员业务不熟悉!到的又晩!影响黄金休息时间!', '短评打分': 5}
{'短评内容': '酒店的地理位置较好，对于初次入住比较容易找到。酒店紧邻国际商贸城，处于马路边上，早晨不可避免有些噪音。酒店服务尚可，对于商务酒店来说自助早餐标准稍显不足。自带电脑的，酒店上网有些不便。', '短评打分': 5}
{'短评内容': '很好找，酒店环境也还不错。下次去还到这里住', '短评打分': 5}
{'短评内容': '第一次到这个酒店，总体感觉很好，房间干净，服务也很不错，主要是他在国际商贸城4区的边上，交通也很方便，边上还有永各豆浆不错，不错，。下次出差还住那里。', '短评打分': 5}
{'短评内容': '就在商贸城对面，步行就可以过去，很方便。酒店干净卫生，早餐品种也多，服务好，值得推荐。', '短评打分': 5}
{'短评内容': '就在商贸城对面，步行就可以过去，很方便。酒店干净整洁，早餐品种也多，服务好，值得推荐。', '短评打分': 5}
{'短评内容': '预订好是两间标间的，到了说有间是商务标间，还得另外加钱。不过环境不错，就是隔音差点。', '短评打分': 1}
{'短评内容': '宾馆的空调冷热装反了，刚住进去真的很凉。联系前台很快就好了。值得一提的是早餐，我们住了三天，早餐完全一样，牛奶不知道是用什么冲出来的有一种怪怪的香味。豆浆还好。宾馆附近有几家能吃饭的地方，总的来说，如果去国贸四期，真的很近很方便。', '短评打分': 5}
{'短评内容': '环境一般。位置不错。服务很差.两人住基本一人配置', '短评打分': 3}
{'短评内容': '不错！有机会的还还去到此居住！值得推荐！！！', '短评打分': 5}
{'短评内容': '我是看了以前的100%好评再入住的，感觉上当，地毯很脏，还有烟灰，沙发上也有，枕套严重怀疑没有换，杯子肯定没洗，热水壶里还有一半水，手柄是粘手的，洗发液也是空的，面盘龙头是坏的，很让人崩溃的是厕所上排风扇上有团一很可疑的脏纸，请酒店换个搞卫生阿姨吧。。。早饭在底楼，没空调，没加热器，很少的一点菜都是凉的，就粥是温的可以吃下。吃的人心冷，马上退房换酒店。', '短评打分': 1}
{'短评内容': '饭店很好，卫生，安静。服务人员也很好，态度很和蔼。特别是早餐很丰盛，是一家物美价廉的酒店。值得推荐。', '短评打分': 5}
{'短评内容': '酒店是新的，就边上有很多类似的酒店，价格偏高了，如果价格可以便宜一些那也不错，不过比那些连锁酒店都好', '短评打分': 5}
{'短评内容': '基本上符合价位，现在特惠中每日有2~3间百元特价房。\n\n新酒店没有什么可以挑剔，唯一就是地毯要清洁一下而已\n\n位置在义乌国际商贸城三期三区北大门五号出口对面，出门就看到。', '短评打分': 5}
{'短评内容': '卫生很好。房间大，服务好环境也不错。以后还要入住此家酒店。', '短评打分': 5}
{'短评内容': '比较适合我出差，离国际商贸城近，住住也还舒服，就是有点味道。整体不错，经济实惠，应该回再来', '短评打分': 5}
{'短评内容': '这家宾馆比较新,房间舒适,较豪华,前台服务员态度也好,但价格比旁边同档次的宾馆稍高了点.', '短评打分': 5}
{'短评内容': '环境很好，而且服务很热情，我下车找不到地方，酒店开车去接', '短评打分': 3}
