{'短评内容': '老顾客，干净整洁暖和', '短评打分': 5}
{'短评内容': '还好，住的楼层比较高，房间比较大。不吵。早餐比较简单，位置不错，出门打车很方便，走不远有许多小吃。。', '短评打分': 4}
{'短评内容': '早餐真心简单，周边环境不错，位置也很好找，有停车场，可以出去吃小街锅贴，酒店服务也很棒，以后还会再选择', '短评打分': 5}
{'短评内容': '早餐真心简单，周边环境不错，位置也很好找，有停车场，可以出去吃小街锅贴，酒店服务也很棒，以后还会再选择', '短评打分': 5}
{'短评内容': '早餐真心简单，周边环境不错，位置也很好找，有停车场，可以出去吃小街锅贴，酒店服务也很棒，以后还会再选择', '短评打分': 5}
{'短评内容': '^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^^_^还没去！', '短评打分': 5}
{'短评内容': '一次买了四双鞋，二次到的，样式不错，赠品鞋垫呢？', '短评打分': 5}
{'短评内容': '一直出差住这里，不错', '短评打分': 5}
{'短评内容': '非常不错，地处市中心，房间很大，设施齐全，服务周到。建议不要用塑料布隔淋浴间，水会淌出。应改用玻璃隔断。', '短评打分': 5}
{'短评内容': '還可以 以這個價位來說算是很超值的選擇 要求沒有太多的朋友確實可以入住', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，舒适，缺陷就是没有自己的餐厅。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，房间干净整洁，服务好，价格也不贵。', '短评打分': 4}
{'短评内容': '出差常住,不错', '短评打分': 5}
{'短评内容': '出差常住,还可以', '短评打分': 5}
{'短评内容': '各方面都非常好，就是电视频道太少', '短评打分': 5}
{'短评内容': '出差经济实惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '价格按3星的收，其硬件水准也就1星（电视是老掉牙的25寸CRT，家具是刨花板的），硬件差一些没关系，但不能按3星级标准的硬件收钱啊。若每日收费100左右，那还可以。', '短评打分': 1}
{'短评内容': '总体不错，从价格和环境上来说，这个价位略有一点点点贵，不过前台服务还行', '短评打分': 5}
{'短评内容': '酒店很好  很干净    下次还会入住   .....................', '短评打分': 5}
{'短评内容': '酒店很好  很干净    下次还会入住   .....................', '短评打分': 5}
{'短评内容': '环境还可以，服务态度也行，就是一进大堂内有股异味，估计是旁边餐厅的味道，客房内在放置当地旅游地图就好了。', '短评打分': 5}
{'短评内容': '前台接待态度有些生硬，房间跟预想的差不多。', '短评打分': 3}
{'短评内容': '是一家不错的酒店，干净整洁，热水使用也方便。交通方便，前台服务也很好！每天还有矿泉水赠送，很周到的服务。下次去洛阳还会选择他家。', '短评打分': 5}
{'短评内容': '房间很大很宽敞，同等价位里面绝对的棒！！！！！！床也很大，两个人睡绰绰有余。每天还有网上预订专门赠送的两瓶矿泉水。服务很周到。卫生间的面积都很大，热水比较热。提供了免费的洗具和可以使用的品牌洗发膏和沐浴露。\n酒店地处洛阳市中心地段，交通及其便利，一面是周王城广场，一面是体育场洛浦公园，附近有百货楼小街可以消费吃喝。尤其推荐小街的锅贴哦！！非物质文化遗产!!!地处商圈中心，各种服务都很便捷。走的时候', '短评打分': 5}
{'短评内容': '感觉是新装修没多久的，有特别大试衣镜。楼层很高视野不错。床有点硬但睡着还挺舒服。总体感觉不错挺值的', '短评打分': 5}
{'短评内容': '..不错空间可以...就是电视太小了..网上预订4晚，每晚都送了2瓶水', '短评打分': 5}
{'短评内容': '不错的酒店，有单独的停车场，周边夜晚也比较热闹。', '短评打分': 5}
{'短评内容': 'ok.........................不错。。。。。。。。服务好', '短评打分': 5}
{'短评内容': '酒店位置不错，在百货楼附近，卫生条件不错，但是房间有点略小', '短评打分': 5}
