{'短评内容': '啦', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '前台服务很赞，很热情。', '短评打分': 5}
{'短评内容': '前台服务不错，住房卫生也干净。出入地铁站也方便', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '距离地铁站，步行街万达广场都很近，交通方便，房间有点小', '短评打分': 5}
{'短评内容': '不错环境挺好', '短评打分': 5}
{'短评内容': '位置不错，交通便利', '短评打分': 5}
{'短评内容': '全国标准，不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '跟女朋友约会，闹中取静，真好！非常好的选择！', '短评打分': 5}
{'短评内容': '还是很不错的，越，你懂的，必备品，擦，暴露了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，价格合理！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '比较干净，稍微有点冷', '短评打分': 5}
