{'短评内容': '总体来说是感觉还行，稍贵', '短评打分': 4}
{'短评内容': '快捷酒店凑合吧', '短评打分': 4}
{'短评内容': '不错不错住很多次了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '什么都好就是隔音不好外挂空调机噪音大晚上睡不好', '短评打分': 4}
{'短评内容': '干净很安静', '短评打分': 5}
{'短评内容': '态度还可以吧，性价比还可以，过了十一可能价格还会便宜一点，十一期间贵点。', '短评打分': 5}
{'短评内容': '环境不错，周围吃的特别多', '短评打分': 5}
{'短评内容': '临街，些微吵，服务很不错，安全系统做得好，上楼和进门都需要刷卡。', '短评打分': 5}
{'短评内容': '很好，第二次入住，因为离考试地点很近，也很方便，周边设施也很齐全，所以特意又订了这家，因为带着宝宝，服务员还安排了四层，不会打扰到休息。', '短评打分': 5}
{'短评内容': '最近去北京一直住这里，前台非常热情有礼貌，环境不错价格也适合', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '安静 干净 推荐入住', '短评打分': 5}
{'短评内容': '很好，前台很热情。', '短评打分': 5}
{'短评内容': '位置很好，酒店很干净，客房通道及电梯需刷卡，安全性高', '短评打分': 5}
{'短评内容': '房间略小，很卫生，也安全', '短评打分': 5}
{'短评内容': '周边环境不错，交通很便利，就是房间太小了。', '短评打分': 4}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离北京西站和五棵松都不远，坐地铁1号线得走2站，门口有公交也挺方便，楼下有小吃店和超市，住宿环境干净卫生有暖气空调。', '短评打分': 4}
{'短评内容': '很不错的哦~如家的一贯风格~还会再来的。', '短评打分': 5}
{'短评内容': '门口停车太费劲,房间小,设置旧,淋浴有点问题.', '短评打分': 1}
{'短评内容': '出租车太不方便了，公共汽车还可以。坐上公共汽车到地铁很方便', '短评打分': 5}
{'短评内容': '总体一般般吧，就是房间太小、太小，主要就是交通方便。', '短评打分': 5}
{'短评内容': '交通方便，只是一层的房间，隔音不如楼上的。', '短评打分': 5}
{'短评内容': '＋清明去的，总体感觉不错，前太服务较好，要是再靠近地铁就好了', '短评打分': 3}
{'短评内容': '酒店还可以，只是房间稍小了一点，定的大床房，房间里除了床，活动空间很小，但价格比较便宜，性价比还好。', '短评打分': 5}
{'短评内容': '第二天选择了在次住，就是感觉适合安静的我。就是许早起点\u3000\u3000赶车', '短评打分': 5}
{'短评内容': '酒店很安静，价钱很合适。就是早晨会堵车  建议赶车的朋友们早起！', '短评打分': 5}
{'短评内容': '挺好的，挺暖和的，就是地方有点小，但是总体来说都还可以', '短评打分': 5}
{'短评内容': '环境挺好,安静。就是可能是由于订的是特惠房,所以房间是最里边的,窗户照不到阳光,想换房子,前台借口说没有空房间了。总体还好。', '短评打分': 3}
{'短评内容': '是我住过的最差的如家\n1 非常冷 暖气跟没有似的 只能开空调到30度过了一宿\n2 洗浴的水服务员说开一会就有热水了 我在洗漱台上放了30分钟 还是温水 就是和体温差不多的水 我真没话说\n房间住的是8112', '短评打分': 1}
{'短评内容': '环境不错，就是有点小，浴室更小。有网线，需要自备电脑，有电视。', '短评打分': 5}
{'短评内容': '干净便捷，服务态度好，唯一缺陷房间没有电脑。', '短评打分': 5}
{'短评内容': '很舒服的环境，不错', '短评打分': 3}
{'短评内容': '还不错，还算比较干净，作为快捷性酒店休息一晚的所在可以接受。', '短评打分': 5}
{'短评内容': '隔声很不好，房间很小,不是如家会员，就要12点之前退房；', '短评打分': 1}
{'短评内容': '           很    温  馨  ，舒   适  ，   交   通   方   便。服    务   态  度很   好。', '短评打分': 5}
{'短评内容': '就是小了点 其它还好', '短评打分': 3}
{'短评内容': '位置偏、周围空荡荡的、因为去武警三院看病才住的、酒店没有餐厅、早餐很差、连豆浆都没有、前台服务狠一般', '短评打分': 1}
{'短评内容': '环境还可以，就是太不好找了！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺好的，位置还可以，交通可方便，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间还算干净，但面积不大，离地铁有点远，位置有点偏', '短评打分': 5}
{'短评内容': '一般般吧，房间偏小，卫生间空间还好，外部环境有些乱。总之一般般吧', '短评打分': 1}
{'短评内容': '隔音有点差，其他都还好。周围也有不少性价比很高的吃饭的地方', '短评打分': 5}
{'短评内容': '第一次入住这家店，感觉还不错，干净，整齐，舒适，值得再次入住，交通方便', '短评打分': 5}
{'短评内容': '商务经济酒店', '短评打分': 5}
{'短评内容': '在北京这个价位上只能说是过得过吧，位置不太好，离交通干线比较远，就看你想去哪了。', '短评打分': 1}
{'短评内容': '周边环境不是太好，内部设施一般，酒店较老，是一家加盟店，而不是如家的新店。不过价格还算适合，总体感觉一般吧，不如我在大连和沈阳住的如家舒适', '短评打分': 1}
{'短评内容': '整体设施有些简陋', '短评打分': 1}
{'短评内容': '房间干净整洁舒服，服务态度好，周边大小饭店，超市，报刊亭，公交站及各种设施。\r\n美中不足的是上网速度不是很快，位置有点难找。', '短评打分': 5}
{'短评内容': '北京的如家比其他地方还是差很多的，主要是不好找而且房间实在太小了。', '短评打分': 5}
{'短评内容': '感觉很不错，很安静。', '短评打分': 5}
{'短评内容': '环境不错 就是交通稍微不方便 ', '短评打分': 3}
{'短评内容': '服务态度很好 就是交通稍微不太方便', '短评打分': 5}
{'短评内容': '位置较偏，不是很好找。其他还不错。', '短评打分': 5}
{'短评内容': '位置比较偏僻，但酒店环境还不错', '短评打分': 5}
{'短评内容': '设施有点陈旧，但还是不错的，餐厅也比较好', '短评打分': 5}
{'短评内容': '房间小了点 其他很好', '短评打分': 5}
{'短评内容': '性价比比较好的一个酒店，房间虽然小点，但是很干净，以后还会去', '短评打分': 5}
{'短评内容': '交通不太便利，其他感觉都还可以，可以推荐！', '短评打分': 3}
{'短评内容': '我们做了地铁下车座2站公交就到酒店,酒店里面的设施不错,卫生也很好环境优雅,总体不错.', '短评打分': 3}
{'短评内容': '位置不错，门口有公交站，去北京西站打车不到20块；\r\n连锁的如家住宿条件还不错，设备简单，适合出差旅行简单休息之用', '短评打分': 5}
{'短评内容': '服务态度不错，离车站也近 坐两站就倒地铁了', '短评打分': 5}
{'短评内容': '酒店就是人员服务不够人性化,规定太死板,房间的住宿条件还是不错的,性价比挺好的.', '短评打分': 3}
{'短评内容': '酒店的硬件设施和整体的环境都还不错，地理位置交通还是比较方便的，价格适中。', '短评打分': 5}
{'短评内容': '酒店的设施比较好的,服务卫生都可以的,酒店的位置不错的,就是停车场比较小了,价格有点高了还有下调的空间的', '短评打分': 5}
{'短评内容': '酒店的环境卫生挺不错的，地理位置也挺好，比较方便，就是硬件设施相对一般，没有我之前住的西翠之旅好，那个西翠之旅，房间里的电视可以切换成电脑，没有带笔记本一样可以上网，很不错，但是这个如家也挺好的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置较偏，离地铁一号线玉泉路站有两站的公交路程，房内的网速较慢，有可能是网通的缘故。感觉没有七天连锁酒店住着舒服！还有附近餐馆较少，酒店里可以点餐，但价格基本上是外面餐馆的两倍左右，不过味道还是不错的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
