{'短评内容': '服务态度太好了', '短评打分': 3}
{'短评内容': '环境好 地方也位置好 非常值得去的', '短评打分': 3}
{'短评内容': '很好 我对她的新兴好 价格实惠 位置好 推荐', '短评打分': 5}
{'短评内容': '酒店住的不错', '短评打分': 3}
{'短评内容': '卫生打扫及时点就好了', '短评打分': 3}
{'短评内容': '离火车站很近的酒店，里面的设施也还不错，就是有些老，但是出门比较方便。', '短评打分': 5}
{'短评内容': '房间很小，不能上网，和香江大饭店是两个独立的宾馆', '短评打分': 3}
{'短评内容': '交通很方便,有阳台,就是方间小了点', '短评打分': 3}
{'短评内容': '非常不错的酒店.经济实惠.交通便利', '短评打分': 3}
{'短评内容': '我们一行四人于2011年10月2号下午入住，第一印象卫生方面干净整洁，只是4楼一间房子的面盆水很小，其他的都还好。如需要去景点游玩可以在一楼得到很好的指导，这点比较满意。', '短评打分': 5}
{'短评内容': '网上预定时，标注的酒店是四星，到了之后才明白，香江大饭店和香江大饭店（南楼）是两回事，倒是位置离得很近。香江大饭店的人称南楼是招待所。第一天入住，感觉味道很不正常，后来发现是地板开裂，刚刚打了胶的味道。要求换房，说是房间已满，在我们的坚决要求下 ，勉强换了一个房间，还好没有味道了，热水也还充足。出于健康考虑，后期的行程再没有住这里的房间。', '短评打分': 1}
{'短评内容': '房间比较整洁，交通便利。性价比高。', '短评打分': 3}
{'短评内容': '在火车站附近，交通十分方便，酒店周边极爱居民楼，环境一般，有点吵，总的来说还不错，电视基本没有频道可看，有线似乎还没调试好，其他都还好，不远的好味道粉店的干捞卤肉粉特别好吃！！！', '短评打分': 5}
{'短评内容': '不错，房间很干净，阳台也大，小孩很喜欢，明年还定这里', '短评打分': 5}
{'短评内容': '我提前2个月定的，到了之后说没记录，还说一层楼只有一间特价。。。经理说与我商量加10元，他们也好给上边交待。。。当时特别累，没心思讨论，交了。。。后来有朋友说，同价位的桂林有很多，条件比这好，哈哈大家以后注意哦，特价不是那么容易地！！！', '短评打分': 1}
{'短评内容': '  六月二十六日至二十九日入住桂林香江南楼。8710房。价优，卫生，很好。', '短评打分': 3}
{'短评内容': '还不错,有床有电视,', '短评打分': 3}
{'短评内容': '环境不错。。遗憾的是98元特价房没有宽带。郁闷', '短评打分': 5}
{'短评内容': '我是20110430入住，标间的房间极小，打开卫生间总有一股难闻的下水道与尿骚气味不知从哪冒出。。', '短评打分': 1}
{'短评内容': '在网上订了这么多次房间，这次居然没有收到第一天的订单，此外房间气味也很重。', '短评打分': 1}
{'短评内容': '房间有点小,是普通的小宾馆,跟香江大饭店是俩码事,晚上比较吵', '短评打分': 3}
{'短评内容': '房间有点小，前台不能刷卡，其他都可以。', '短评打分': 3}
{'短评内容': '最大的优势是交通便利，价格便宜，就是房间偏小，作为驻脚还是比较合适的', '短评打分': 5}
{'短评内容': '不错!离火车站很近，很方便的！干净卫生！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '订的是特价房98元，房间还是值这个价钱的。', '短评打分': 5}
{'短评内容': ' 房间还可以，挺新和干净', '短评打分': 3}
{'短评内容': '酒店里铁通的宽带挺快...别的也挺酒意---------------', '短评打分': 5}
{'短评内容': '酒店好差', '短评打分': 3}
{'短评内容': '隔火车站也有点距离。而且好小，都没有电的，空调电视都开不了。哎。真的不喜欢，', '短评打分': 1}
{'短评内容': '房间有点小，没有想象中的好。。。。。。。。。。', '短评打分': 1}
{'短评内容': '订房十分混乱!', '短评打分': 3}
{'短评内容': '卫生环境可以 就是晚上有点吵', '短评打分': 3}
{'短评内容': '酒店性价比不错，房间硬件设施很完善，住宿条件还可以，客房服务员态度也很友善，周边交通出行方便，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店地处繁华地区，在象鼻山附近，出行方便，房间硬件设施齐全，服务很好，卫生也不错，住宿环境一般', '短评打分': 5}
{'短评内容': '房间比较宽敞，硬件设施很齐全，性价比较高，酒店位置很优越，就在火车站附近，去机场方便，距离市中心，步行街，象鼻山都很近，前台服务员着装干净整洁，其他都还可以', '短评打分': 5}
{'短评内容': '酒店周边环境不错，地处繁华地区，门口座公交或者打车都很方便，酒店有自己的停车场，停车很方便，房间里可以上网，感觉还是不错的', '短评打分': 5}
{'短评内容': '酒店整体格局还可以，房间视野不错，装修布置的一般，酒店周边环境很好，空气清新，服务也就那样，其他都还好', '短评打分': 3}
{'短评内容': '酒店地理位置还可以，打车5块就能到市中心，出门方便，距离火车汽车站都不是很远，对面是民航大楼，房间硬件设施齐全，服务一般，其他都还好', '短评打分': 3}
{'短评内容': '房间形状蛮特别的，是扇形形状的，空间蛮大的，应该是新装修的酒店，房间硬件设施很齐全，卫生方面还可以比较干净，前台服务不错，舒适度很好', '短评打分': 5}
{'短评内容': '住的是98元单人间，面积小，朝向不好，西晒。设备不齐，无梳妆台无凳（当然他们配备如此），洗簌用品较差，新装修，卫生间还行，蛮干净，但是也是挤。去看了138元的单间，感觉那收98比较合适。惟一的优点是离火车站汽车站近。但是相同地段相同价格可以考虑附近连锁酒店（反正有很多家）。总体不推荐。', '短评打分': 1}
