{'短评内容': '酒店出乎意料的好，在老宅上重新装修，简直别有洞天', '短评打分': 5}
{'短评内容': '服务非常周到，有每日水果和点心，还有专人送出景区', '短评打分': 5}
{'短评内容': '早餐内容较少，房间挺干净，装修较老', '短评打分': 5}
{'短评内容': '感觉都不错', '短评打分': 5}
{'短评内容': '早餐很好，很幽静，本来订的是中式床，最后给的是欧式床，就这么一点点遗憾', '短评打分': 5}
{'短评内容': '特别好。服务很周到。谢谢服务生大兄弟帮忙提行李。还有果盘 饮品相赠。下次来还住这', '短评打分': 5}
{'短评内容': '环境舒适，卫生干净', '短评打分': 5}
{'短评内容': '不错的酒店。。很满意。。', '短评打分': 5}
{'短评内容': '酒店很好，服务接待都很到位，不错！', '短评打分': 5}
{'短评内容': '必须好评，环境非常优美安静，酒店非常干净，下次去乌镇一定首选还是这家！服务生特别有礼有节，遗憾的是没有记下他的名字！', '短评打分': 5}
{'短评内容': '很不错，就是有点小贵！', '短评打分': 5}
{'短评内容': '乌镇上首推的酒店了。不一定是最贵的，但是最雅致最想多住几晚的地方。', '短评打分': 5}
{'短评内容': '乌镇里数一数二的酒店，就在景区里面古色古香很舒服，订房后还免两张门票，不过价格也确实不低值得再次入住。', '短评打分': 5}
{'短评内容': '挺好的。房间看不出去。没有景观花园', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还是很不错的，下次还会选择。希望软性服务还能提升哦', '短评打分': 4}
{'短评内容': '不懂为什么价格这么高，两间房快四千了不划算', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也不错，晚上很安静，服务很好。', '短评打分': 5}
