{'短评内容': '客户每次来访，都会在这里入住，性价比挺高的', '短评打分': 5}
{'短评内容': '酒店比较还比较干净', '短评打分': 4}
{'短评内容': '挺不错', '短评打分': 4}
{'短评内容': '酒店位置挺好的', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '挺干净的性价比高，就是早餐很一般', '短评打分': 5}
{'短评内容': '这个价位上不错了', '短评打分': 4}
{'短评内容': '605房间里卫生间没使用也有股强烈的臭味一直飘出来，冲了水N次也去不了，一差评以后不会去住了。遗憾！', '短评打分': 3}
{'短评内容': '帮朋友定的，品质也就这样吧！价格高于实际价格！', '短评打分': 4}
{'短评内容': '酒店客服 服务太差 一问三不知', '短评打分': 1}
{'短评内容': '总体还是不错的，经济实惠。周边餐饮也方便。', '短评打分': 4}
{'短评内容': '总体不错，性价比不错的酒店，出差旅游都合适。。。。。', '短评打分': 4}
{'短评内容': '很好的酒店，以后还会入住。', '短评打分': 5}
{'短评内容': '还不错啊，早餐有点简陋。', '短评打分': 4}
{'短评内容': '干净，舒适！前台服务有待培训和改进，早餐太单一。', '短评打分': 4}
{'短评内容': '恩 空调床都还不错 不过临走的时候看了下正在打扫的情趣房 我后悔没有住啊 真的很有氛围 还要早餐没有吃真可惜 性价比比较高 如果按星级的话 我认为他不是挂四的 但是特色什么的他有些方面比挂四的好很多', '短评打分': 5}
{'短评内容': '性价比不错，设施环境都可以，服务也很好，而且可以刷卡哦！临安很多酒店不能刷卡呢', '短评打分': 5}
{'短评内容': '硬件不错 价格不贵 但洗澡水压有点低,如果能把这个问题解决就更好了 总的来说还不错 下次还会入住', '短评打分': 5}
{'短评内容': '还可以，平时价格还好，周么贵了点。宾馆比较干净，就是稍偏了点。总的说来还可以。', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间设备基本都全了，早饭也还不错至少对得起这价格。', '短评打分': 5}
{'短评内容': '房间不错，安静。早餐差了些。', '短评打分': 3}
{'短评内容': '房间很干净 设施齐备 闹中取静 视野也很不错 性价比挺高的 已经去了好多次了', '短评打分': 5}
{'短评内容': ' 酒店装修时尚，住店感觉很舒服，早餐方面差了些，其他都好，值得推荐。', '短评打分': 3}
{'短评内容': '该酒店很不错，环境好，交通方便，酒店服务态度也可以，下次出差我还会住这里。', '短评打分': 5}
{'短评内容': '挺好，挺好，下次继续住！！！！！！！！!!!!!!!!', '短评打分': 5}
{'短评内容': '还好吧，就是早上叫出租很麻烦，赶车很困难，时间不好掌握。\n\n', '短评打分': 5}
{'短评内容': '酒店地理位置挺好，较干净，出行方便！推荐', '短评打分': 5}
{'短评内容': '地点难找，没有停车位门口！！价格很实惠，房间内乾净。', '短评打分': 5}
{'短评内容': '可能是十一黄金周的缘故，餐厅没座位，也没人收拾，食物刚上来就被拿光了，希望以后能改进。', '短评打分': 5}
{'短评内容': '一不错干净安静', '短评打分': 3}
{'短评内容': '位置较佳，房间较平净，服务态度也较好，早餐也可以，值得一住。', '短评打分': 5}
{'短评内容': '新开的酒店，门脸还可以，但房内设施却显得比较旧，也不十分干净，比如那个圆床四周就有黑黑的鞋印；没有无线宽带，最意外的是桌上两瓶矿泉水也是要收费的。总之，亟待改进', '短评打分': 1}
