{'短评内容': '朋友说住的很好，交通很方便', '短评打分': 5}
{'短评内容': '服务以及环境都不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店位置很方便', '短评打分': 5}
{'短评内容': '房间卫生太差，酒店味道很大，就住了一天就果断退', '短评打分': 2}
{'短评内容': '给我退房了&hellip;&hellip;不让我定', '短评打分': 1}
{'短评内容': '挺不错的   房间干净   走进去跟回家一样', '短评打分': 5}
{'短评内容': '酒店性价比不错，位置方便', '短评打分': 5}
{'短评内容': '酒店不错，酒店主动给我换了个大房间，舒适度，环境都不错', '短评打分': 5}
{'短评内容': '卫生还行，隔音效果太差，不够安静', '短评打分': 5}
{'短评内容': '第一次住这个酒店，房间比较大，设施一般化，还行吧', '短评打分': 4}
{'短评内容': '还行，，就是这家有好几栋，看照片订的地方和去的不是一个，离前台也很远，有事也不方便问。第一次来广东这边，东西不好吃', '短评打分': 4}
{'短评内容': '离机不远，在翻身车站坐过去很方便，出差在外，方便就OK', '短评打分': 4}
{'短评内容': '这个价格的还可以', '短评打分': 4}
{'短评内容': '还好吧，空间挺大，设施感觉没那么好', '短评打分': 3}
{'短评内容': '酒店最后还升级了商务大床，这点还是非常赞。第二次入住了。下次有机会还是会选择', '短评打分': 5}
{'短评内容': '态度非常好', '短评打分': 5}
{'短评内容': '出差到深圳，每次都是住这个酒店，挺方便的。就是酒店的早餐太简单了', '短评打分': 4}
{'短评内容': '环境还好，服务不错', '短评打分': 4}
{'短评内容': '总体上还可以，感觉房间的设计不好，特别是浴室，好窄', '短评打分': 5}
{'短评内容': '环境不错 网速也很给力 空间面积也很大 价钱还不贵 不错的酒店', '短评打分': 5}
{'短评内容': ' 挺实惠的，房间装饰简洁、干净，感觉挺舒服的，灯光也不错，床够大。总而言之，不错，值得推荐。', '短评打分': 3}
{'短评内容': '前台的服务员实在是水平低到不能再低了.....老是搞错.......\n地板不干净，墙壁不干净......\n本屌丝实在很恶心这个烂橙子.....', '短评打分': 1}
{'短评内容': '干净舒服，如果有免费水送是最好不过。哈哈', '短评打分': 5}
{'短评内容': ' 環境不錯，交通根方便', '短评打分': 3}
{'短评内容': '第一次安排的房间很小，而且有味道。后来换了间贵的房间才好很多。两个房间没差多点钱，环境却差太多。早餐厅很小，都是人。位置还可以。出门就有公交车', '短评打分': 3}
