{'短评内容': '这个价感觉还是很不错的', '短评打分': 4}
{'短评内容': '卫生环境好，服务一般', '短评打分': 3}
{'短评内容': '属于经济简洁类型 ，出行方便 近邻世纪金源大厦 购物逛街方便轻松，附近特色小吃品味繁多，商场购物轻松愉悦。', '短评打分': 3}
{'短评内容': '环境还不错，床睡着挺舒服的！唯一的缺点就是无窗的小房间真的闷了点', '短评打分': 5}
{'短评内容': '还不错吧，很安静', '短评打分': 4}
{'短评内容': '还可以，第一次入住', '短评打分': 3}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '卫生太差', '短评打分': 2}
{'短评内容': '酒店装修陈旧！', '短评打分': 3}
{'短评内容': '购物、吃饭方便', '短评打分': 3}
{'短评内容': '还不错，就是早上没有热水。', '短评打分': 5}
{'短评内容': '房间不错，很大，干净，就是wifi连不上，老板给的二楼，也还可以', '短评打分': 3}
{'短评内容': '环境一般般，服务还可以，一分价钱一分货。', '短评打分': 3}
{'短评内容': '环境一般般，服务还可以，一分价钱一分货。', '短评打分': 3}
{'短评内容': '加強卫生方面的清扫力度，总台服务太差，服务员素质较差。脸色就向欠她几十万是的。', '短评打分': 3}
