{'短评内容': '在延安，这个价位不错了，门口交通方便，吃的也很方便！', '短评打分': 5}
{'短评内容': '房间很小，墙上有很多地方是烂的，服务员态度也不好，床头没有插座，地板踩上去都响。', '短评打分': 2}
{'短评内容': '卫生一般，我住三天不换床单被罩', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '一般般，便宜。', '短评打分': 4}
{'短评内容': '房子还可以，交通便利，周边餐饮都很方便，就是房内灯光有些暗。', '短评打分': 5}
{'短评内容': '换不错，很安静', '短评打分': 5}
{'短评内容': '服务差，态度及其不好，再也不会来了', '短评打分': 1}
{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '还好吧，就是感觉地面有点脏，毕竟是地毯式那种的，总体感觉不错', '短评打分': 5}
{'短评内容': '。。。。。。。。', '短评打分': 5}
{'短评内容': '一般。。。。。。。。', '短评打分': 3}
{'短评内容': '还不错，就是设施有点陈旧。', '短评打分': 5}
{'短评内容': '                     环境不错，价格合理', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错。', '短评打分': 5}
{'短评内容': '没有吹风机', '短评打分': 4}
{'短评内容': '酒店比较老，味道有的！～潮湿', '短评打分': 3}
{'短评内容': '酒店位置离中心街3站路，从火车站打车约14元，门口就有交通招牌直接到杨家岭，宝塔山等，交通还好.周围有饭馆，200米处有民生商场，设施比较齐全但是较老旧，特别是卫生间是有人进去就亮灯，出去等一会才关影响睡眠，还行吧', '短评打分': 3}
{'短评内容': '经常出差，大概都住这种品质的酒店', '短评打分': 3}
{'短评内容': '房间干净整洁，服务态度良好', '短评打分': 3}
{'短评内容': '还算满意， 地理位置好的了', '短评打分': 3}
{'短评内容': '性价比很一般', '短评打分': 3}
{'短评内容': '不上规模的个体旅馆，员工素质差，明显未受过专业培训，服务态度极差，语言生硬噎人。宣传上说是房间有宽带，但只有插口没有网线，后经交涉，送来了一根网线，但始终连接不上，打电话到服务台，服务人员说：我又不懂，也不会，找我干嘛!我又问那该找谁？回答说：不知道！连接不上就别上网了呗！一天不上网还能要命呀！晕死了，这家旅馆的老板真是倒了八辈子霉了，找了这样的服务员来砸自己的牌子.房间还有很大的异味，卫生间干湿', '短评打分': 1}
{'短评内容': '前台没有刷卡设备，必须现金结账。电梯是坏的。晚上10点以后才可以开空调，冷飕飕的。房间里面的水壶有煮过的面条，找服务人员，回答说这是水锈！地毯、毛巾的陈旧程度完全不是一家2011年6月份开业的酒店应有的样子，倒像是开业十来年才有的。 出差住过的最差的酒店。', '短评打分': 1}
