{'短评内容': '免费停车，适合出游', '短评打分': 4}
{'短评内容': '可能因为到了旅游淡季，那边人很少！酒店服务有待提高，希望卫生能认真做！', '短评打分': 3}
{'短评内容': '帮家人出行订的 还可以', '短评打分': 5}
{'短评内容': '房间设施是真的差，还漏水，客厅的灯竟然都是坏的，厕所还一直有水声。', '短评打分': 4}
{'短评内容': '设备老一些。但是环境很不错', '短评打分': 5}
{'短评内容': '还可以，来这两次都住的这个酒店，价格实惠，干净卫生，安静。', '短评打分': 5}
{'短评内容': '一般，设施老旧', '短评打分': 3}
{'短评内容': '还可以。免费升级到1号楼了。', '短评打分': 4}
{'短评内容': '再一次入住，感觉一如既往的好，住的1号楼房间，有一个大阳台，可以看到海，离海边步行6、7分钟，宾馆后面的小街是当地人的居住区域，一应需求都可满足，物美价廉', '短评打分': 5}
{'短评内容': '环境还不错……房间也很干净……卫生间较小……有免费无线……电视节目也很多……就是早餐单调……离大海近……', '短评打分': 4}
{'短评内容': '酒店不错，快到淡季了，免费升级房间，但服务稍有点下降。', '短评打分': 4}
{'短评内容': '设施完毕，价格实惠，服务周到。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，软硬件都差，老楼不推荐。', '短评打分': 3}
{'短评内容': '挺好的好的好的呀呀呀呀呀呀', '短评打分': 5}
{'短评内容': '特别超值。因为那天是淡季，有其他房间，前台就主动给我换了更新的一个房间，表示感谢。环境、位置、卫生都很满意，离海也不远，周围有吃的，反正是很超值的一次住宿。', '短评打分': 5}
{'短评内容': '环境还不错，停车方便，网上查的地址不对，找错了地方，后来打电话，才找到的。离海边不远。也安静。可以再去。', '短评打分': 5}
{'短评内容': '入住时办理手续，告知房间为1楼，入住时发现不过是地下室而已，一股浓浓的霉味，没有地板，更谈不上地毯，陈旧的设施，感觉也就一招待所水平。在我坚决退房的要求下，经理协调，给更换楼层，房间略好，勉强入住，总体感觉物非所值！', '短评打分': 1}
{'短评内容': '住四号楼，装修设施确实比较老，卫生条件还算可以，离海边也可以，需要走10多分钟，顺道可以逛逛道路两边的商店，还有很多饭馆吃饭也算方便，价格有点贵，不过现在是旺季而且是周末都是这个行情。', '短评打分': 5}
{'短评内容': '3号楼房间比较旧，屋里有隐隐的霉味，卫生条件一般，洗澡水要放五分钟才热，自助早餐一般。300元/天性价比不高。院内有两栋楼很新，设施和房价应该是呈正比的。如果要住3号楼请慎重。', '短评打分': 1}
{'短评内容': '订的标间双床，还白搭了我们一张床，给的是三人间。我认为这样的情况应该之前跟客人沟通一下，这样心里会舒服一些或者选择要不要订。情侣肯定是希望双人间不是什么三人间。房间里设施真的非常非常之陈旧！所以刚一进门发现既不是标间又这么破旧还有些懵了。我们预定两晚，转天到下午三点还没有人收拾房间，跟服务台说了晚上回来就把床铺帮着整理了一下，洗漱用品也没有给，也懒得麻烦就用前一晚打开的继续使用了。不过前台服务人员', '短评打分': 1}
{'短评内容': '  总体感觉不错 ，离海边很近 ～', '短评打分': 3}
{'短评内容': '条件不错！环境比较好！给力的住宿！', '短评打分': 3}
