{'短评内容': '总体来说还是不错吧！', '短评打分': 4}
{'短评内容': '相当不错，还来住！', '短评打分': 5}
{'短评内容': '早餐还可以', '短评打分': 3}
{'短评内容': '第一次住锦江之星，还是不错，很安静，旁边有个火锅，特别好，好像在日照也是很出名的。网速不够快。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店前后都有免费停车场，服务态度也不错。', '短评打分': 5}
{'短评内容': '虽然比较旧，各方面比较舒服，地段也不错。', '短评打分': 5}
{'短评内容': '不错的酒店氛围管理人员参考和好的合作伙伴提供大家优惠', '短评打分': 5}
{'短评内容': '挺不错的呵', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的。环境不错 ', '短评打分': 5}
{'短评内容': '里公园很近，离老市区较近', '短评打分': 4}
{'短评内容': '一个字好', '短评打分': 5}
{'短评内容': '方便！', '短评打分': 5}
{'短评内容': '酒店很干净  在锦江的分店里也是非常好的', '短评打分': 4}
{'短评内容': '环境不错，交通方便，附近有超市', '短评打分': 5}
{'短评内容': '室内干净温馨', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '同事几次入住了，位置方便，干净整洁。下次应该还会选择这里', '短评打分': 5}
{'短评内容': '方便。卫生。硬件不错。隔音还好。下次再来。', '短评打分': 3}
{'短评内容': '服务态度比较好  房间温馨 一家三口可以考虑入住标准间', '短评打分': 3}
{'短评内容': '位置距离海边较远约8公里，购物方便，日照购物中心大润发都很近。停车方便。房间比较干净，但申请延时退房遭婉拒。一大一小两张床适合带孩子入住，但大床只有1,3米，两人住稍稍挤了点，1.5米以上最好。服务友善。', '短评打分': 5}
{'短评内容': '酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  ', '短评打分': 5}
{'短评内容': '酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  ', '短评打分': 5}
{'短评内容': '地理位置优越，住宿环境安静，服务态度也很好，感觉很好。', '短评打分': 3}
{'短评内容': '一如既往的舒适。非常干净。隔音很好，很安静。', '短评打分': 5}
{'短评内容': ' 环境不\n错，离汽车总站比较近，交通方便。', '短评打分': 3}
{'短评内容': '床品是一如既往的舒服，就是房间和窗户有点小，十二点要退房，不爽', '短评打分': 3}
{'短评内容': '环境清淡，满好', '短评打分': 3}
{'短评内容': '性价比一般，毛巾太脏了，不推荐', '短评打分': 3}
{'短评内容': '位置比较方便，主要是价格合适，而且干净整洁。', '短评打分': 5}
{'短评内容': '住的方面还是挺好的，但是早餐有点不如江苏，不知是不是地方差异，总的来说还行', '短评打分': 5}
{'短评内容': '房间比较小，卫生间也很小。\n相对于这价格，不是很值得。\n', '短评打分': 1}
{'短评内容': '家庭房空间压抑，竟然是阁楼，卫生间陈旧，毛巾还有洞。', '短评打分': 1}
{'短评内容': '还算方便，价格合适。交通方便。别的就没什么需要说的了', '短评打分': 5}
{'短评内容': '位置不错,交通方便,向东直达万平口旅游区等,向西一点是利群超市购物比较方便,干净,服务等也标准,就是房间里面蚊子太多.', '短评打分': 5}
{'短评内容': '服务态度好，安静也干净，去各个景点也很方便，就是停车场小了点，总的来说不错的~', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '非常满意。服务态度超级好，环境也很好。很喜欢哦！', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '以后去日照就住这里，虽然房间不大，但挺温馨，很舒服', '短评打分': 5}
{'短评内容': '酒店卫生打扫及时，服务态度较好，只不过酒店规定如未使用一次性用品可省房费十玩并未执行', '短评打分': 5}
{'短评内容': '设施虽然简单，但是高效，环境温馨，很适合年轻人。', '短评打分': 3}
{'短评内容': '前台服务很好，有个美女每次见到都笑的很甜。早餐感觉一般，还说的过去。房间比较大，睡的很舒服。', '短评打分': 5}
{'短评内容': '干净舒适，总的来说还不错！交通也很便利！我会推荐给我的朋友！', '短评打分': 5}
{'短评内容': '+挺好的', '短评打分': 5}
{'短评内容': '不错的一家旅店，如果价格再便宜点就好了,219略高，180比较合适。再有就是网上订的房间位置较差。', '短评打分': 5}
