{'短评内容': ' 设施陈旧。交通还算方便。', '短评打分': 3}
{'短评内容': '服务各方面还行，就是有时候反应慢了些', '短评打分': 3}
{'短评内容': '原来郑州的河南龙门大酒店是洛阳市人民政府驻郑州办事处啊。\n好', '短评打分': 5}
{'短评内容': '很好。条件还行，出行很方便，住着很舒服，建议入住', '短评打分': 5}
{'短评内容': '离华北水电水利学院最近，比江河宾馆好，适合来河南省电视台和华北水院办事的人住', '短评打分': 5}
{'短评内容': '感觉不错，三星级的，在河南电视台一起，吃饭有点贵呀·总体不错', '短评打分': 5}
{'短评内容': ' 早餐一般', '短评打分': 3}
{'短评内容': '环境不错，价格便宜，电视还能上网！', '短评打分': 3}
{'短评内容': '工作人员服务不错！就是酒店位置较偏，打车要20元', '短评打分': 5}
{'短评内容': '服务很周到，就是旧了点，如装一下应该更好', '短评打分': 5}
{'短评内容': '宾馆比较旧，但环境很不错，免费早餐很一般', '短评打分': 5}
{'短评内容': '不错的酒店 主要是离河南电视台近 交通方便', '短评打分': 5}
{'短评内容': '这个酒店总体来说还可以，只是装修比较早了，有些设施比较老旧。如果去河南台办事这里还是很方便的。', '短评打分': 5}
{'短评内容': '世界之大无其不有，居然还是政府定点接待的旅游的酒店，还是三星，从这点就开始看出郑州政府和旅游局是非常差的。居然在客人离开酒店还不到十分钟就以房间有问题要给客人换房间为由进入房间。（备注：在客人不知情的情况下）等回来房间，我大惊，房间门开着，我的贵重物品全在房间。问服务员，居然大言不惭的说服务员有权进入客人房间内。真没想到，郑州宾馆的服务员比公安局的警察还牛逼。真是差差的酒店，建议客人不要看到是什么', '短评打分': 1}
{'短评内容': '龙门大酒店入住后感到很舒适，安静，服务及时，停车方便。唯一不足房间内设施有些旧。', '短评打分': 3}
{'短评内容': ' 酒店挺气派,服务也不错。我看到有人入住时正常是中午吃饭时间,里面打扫卫生的阿姨就说先打扫完再下班,让人感觉挺温暖的。', '短评打分': 3}
{'短评内容': '地理位置优越，交通比较方便；硬件设施还好，干净整洁；毗邻繁华街道，晚上比较吵。', '短评打分': 5}
{'短评内容': '表面看上去很豪华，其实华而不实。里面其实很一般', '短评打分': 1}
{'短评内容': '服务态度还可以，房间设备能用，但有点陈旧，插座普遍接触不良。', '短评打分': 5}
{'短评内容': '房间脏，洁具老旧。服务速度慢。早餐内容差，质量差，温度冰冷。虽为三星级，强烈不推荐。', '短评打分': 1}
{'短评内容': '房间设施陈旧，酒店位置较偏，门前道路是单行线，去市里要兜圈，不去省电视台办事，不宜住此处。评价一般。\n\n朱宪人', '短评打分': 5}
{'短评内容': '位置较好，菜价较贵、服务尚可、硬件一般、总体可以', '短评打分': 3}
{'短评内容': '酒店位于河南省电视台的北侧，北环边，相当于北京的北三环，地理位置还是不错，酒店是三星级，房间面积比较大，设备设施稍显陈旧，酒店服务还算令人满意，早餐还算可以，不过餐厅的菜价可是四星级的水平，人均消费在70元，网速在上网集中时间比较慢，整体水平还算满意。 ', '短评打分': 3}
{'短评内容': '位置不错、房间还好、早餐一般、菜价较贵、服务尚可。', '短评打分': 5}
{'短评内容': '酒店虽是三星的，但是设施和房间的配备需要更新。', '短评打分': 1}
{'短评内容': '我想用表违反国家法律的言论评价 仅此而已！', '短评打分': 3}
{'短评内容': '我是通过网站上预定的，觉得位置还不错，果真在主干道上出行很方便。', '短评打分': 5}
{'短评内容': '酒店的服务很贴心，位置也很方便，房间干净舒适，配置也比较达标。', '短评打分': 5}
{'短评内容': '酒店是花园式的，装饰维护的还是很不错的。', '短评打分': 5}
{'短评内容': '酒店的环境很好，整体布置的都比较漂亮。', '短评打分': 5}
{'短评内容': '服务态度很好，很专业，效率很高的服务。', '短评打分': 5}
{'短评内容': '房间干净舒适，卫生很好，到处都是干干净净的。', '短评打分': 5}
{'短评内容': '龙门酒店的整体氛围很不错，酒店很安静，舒适配置也很不错。', '短评打分': 5}
{'短评内容': '地理位置很好，我当时去郑州出差，位置距离电视台很近。', '短评打分': 5}
{'短评内容': '位置不错，下了高速就能找到，离河南电视台也比较近，周边交通挺便利的。', '短评打分': 5}
{'短评内容': '酒店服务上差了一些,位置稍微偏了一些,设施比较一般,卫生还可以,性价比也很一般.', '短评打分': 5}
