{'短评内容': '还不错吧！感觉还蛮好的。', '短评打分': 3}
{'短评内容': '还行，设施有待提高', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 2}
{'短评内容': '太差了 没发说', '短评打分': 1}
{'短评内容': '唉…………', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '都没有楼层服务员，订单的房间还是“特单”，半天没找到', '短评打分': 1}
{'短评内容': '价格稍贵~其他的都还行，隔音不是特别好！总体哈不错吧！位置离东站有一段距离！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '每个人要求不同，希望住前先要求看下房间！', '短评打分': 1}
{'短评内容': '酒店还不错，挺干净的，我这个特价房还有个窗户，蛮不错的。床也很大的，就算是单人床也可以睡下3个人，一家三口来住还是可以的。', '短评打分': 5}
{'短评内容': '价格还算实惠。周边环境，交通都还可以。就是感觉装修有点旧。', '短评打分': 5}
{'短评内容': '位置有点偏，走廊牆纸发霉，空调没作用。不建议入住', '短评打分': 1}
