{'短评内容': '有停车场', '短评打分': 4}
{'短评内容': '太太太吵了，隔音非常不好，大半夜人们在走廊在隔壁大声说话，一大早仍然在走廊吵叫，而且走廊灯非常亮，因为我们窗户靠走廊，不然就是靠路边，估计靠路边更吵', '短评打分': 4}
{'短评内容': '老板不错，主动升级房间，环境很好，', '短评打分': 5}
{'短评内容': '真不错，位置好，服务好，老板好', '短评打分': 5}
{'短评内容': '附近有很多餐点，很方便。炕很大，有特色。一家三口没问题。本来还定了一个普通双人房，店主很好，让我们自己选房间,都改成土炕了。酒店离北门很近，停车没问题。', '短评打分': 5}
{'短评内容': '还不错！离古城北门特别近，非常的方便！', '短评打分': 3}
{'短评内容': '算是还行', '短评打分': 3}
{'短评内容': '价格还好，就是卫生间不太干净，也没有干湿分离。淋浴头有点问题，水流分叉太大，太分散，打到身上不太舒服。床铺挺干净的，电视有些老旧，但还能看。门锁有点问题，也可能是我的操作问题，出门，反锁的时候挺费劲。其他都还好。。', '短评打分': 4}
{'短评内容': '隔音不是很好，但是里面的复古家居，摆设很赞，第一次住客栈，感觉好极了\\^O^/', '短评打分': 5}
{'短评内容': '房间冷，开始给类似半地下室房间，有味，服务不太到位。', '短评打分': 3}
{'短评内容': '一般的很', '短评打分': 1}
{'短评内容': '很差。环境也不好，价格也高，就是离城墙近而已。不推荐！', '短评打分': 1}
{'短评内容': '房间小，卫生不好，卫生间尤其吓人，热水特别细。无线网络上不去。老板态度很好，就是硬件条件差', '短评打分': 1}
{'短评内容': '卫生间太小没挂毛巾地方，无衣架，还有异味，还比不上招待所，以后都不会住。', '短评打分': 3}
{'短评内容': '位置非常好啊，正对着古城北门。条件也不错，挺整洁。服务周到，还有小礼品。总之不错。 ', '短评打分': 5}
