{'短评内容': '物美价廉，好', '短评打分': 5}
{'短评内容': '房间还行，性价比比较高。', '短评打分': 5}
{'短评内容': '洗手盆水龙头坏的，房间看起来比较旧', '短评打分': 4}
{'短评内容': '房间环境一般，就是在路边，不安静', '短评打分': 3}
{'短评内容': '里面灯光很暗，房间不干净，连一次性拖鞋都没有', '短评打分': 3}
{'短评内容': '还一般啦。。。。。。。。。。', '短评打分': 3}
{'短评内容': '环境很差，价格贵，设施简陋！简直是坑！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错 离学校很近～', '短评打分': 4}
{'短评内容': '1、洗澡水时冷时热。2、卫生不是很好，地毯很脏。3、就是一家普通的小旅店，不怎么规范。唯一一点好的就是网速非常给力。', '短评打分': 1}
{'短评内容': '不错的酒店，设备很好，除了隔音效果不好之外无可挑剔了', '短评打分': 5}
{'短评内容': '加.已经入住.但是房间打扫的很晚.', '短评打分': 3}
{'短评内容': '卫生间抽水马桶有问题，水量很小，只好用垃圾桶接水冲啦。不过服务态度还是不错的。', '短评打分': 1}
{'短评内容': '订了总店，到了店里被安排到分店，太僻了。', '短评打分': 1}
{'短评内容': '非常好，非常好，非常好，非常好，非常好，', '短评打分': 5}
{'短评内容': '地址不错，下了高速之后一条路就直接到了，正好在要去的温泉的路上途径，不用绕弯路。酒店设施也很新，整体感觉很好，性价比很高，强烈推荐哦~缺点也有，就是，没有电梯，楼道较窄，不过房间还是很大的~', '短评打分': 5}
