{'descr': '帮朋友定的酒店，凑合着住着吧，旁边早上小吃很多', 'star': 3}
{'descr': '酒店位置还可以，但是设施很差很差，房间又潮湿，还有很重的霉味。根本无法入住。本来定了4天，后来退了3天。入住当天没法退。 我不得不重新定其他酒店。浪费了我一晚上的住宿费用。大家千万别选。', 'star': 2}
{'descr': '价格很便宜，但是设施真的很差，', 'star': 3}
{'descr': '帮朋友定的不太清楚', 'star': 5}
{'descr': '同事来玩给她们订的，住宿离学校近', 'star': 5}
{'descr': '商务出差最佳选择，干净、安静、舒适。以后会常来。', 'star': 5}
{'descr': '商务出差最佳选择，干净、安静、舒适。以后会常来。', 'star': 5}
{'descr': '很好', 'star': 4}
{'descr': '确实很好', 'star': 5}
{'descr': '周边设施方便，住宿条件一般', 'star': 4}
{'descr': '还可以', 'star': 4}
{'descr': '就卡去记录了咯哦那里具体', 'star': 3}
{'descr': '地毯潮湿、房间格局古怪，前台那个妹妹爱理不理，不过第二天早上结账时候的妹妹服务态度好很多。', 'star': 1}
{'descr': '住宿环境较好，服务较好，地理位置比较便利，与网上讲的相符', 'star': 5}
{'descr': '房间面积比较小，没有窗户，排气设施比较差，有异味，房间的其他设施很陈旧，地理位置偏，很难找，总之很不好', 'star': 1}
{'descr': '性价比很高，晚上的那个服务员人也很好，房间很不错', 'star': 3}
{'descr': '性价比在南京算是很好的了，床很舒服，房间设备很合理，服务态度好……', 'star': 5}
{'descr': '总体还可以，刚进来的时候觉得走廊像个迷宫好久才找到，不过知道位置就好找了，看起来真的还不错，床也很大，很舒服，服务的也很周到，价格在南京看来很实惠了', 'star': 5}
{'descr': '还不错 方便快捷 地点好找 连锁的挺不错的', 'star': 5}
{'descr': '不错，比较经济实惠，可以的，就是房间稍微小了点', 'star': 5}
{'descr': '考研的时候住的 性价比不是很高 但是比较近 位置是关键~~', 'star': 5}
{'descr': '方便~环境不错~就是没有窗户~其他都还行的~房间很大，电视很好！', 'star': 5}
{'descr': '房间没有窗户，不太好，环境还可以，服务人员恩热情', 'star': 5}
{'descr': '网上预定还行吧。感觉没优惠阿 。', 'star': 3}
{'descr': '酒店床很舒服 在南京累了一天 晚上睡的很舒服。推荐入住。', 'star': 5}
{'descr': '方便干净,就是空间有点小，不过只是小住几天还是不错的', 'star': 5}
{'descr': '以为跟一般的旅店差不多，结果看起来真的很不错，床也很大，很舒服，服务的也很周到，价格在南京看来很实惠了', 'star': 3}
{'descr': '房间打扫很及时~服务也好！房间打扫很及时~服务也好！', 'star': 5}
{'descr': '房间比较小，没有窗还是闷了点，不过便宜啊！', 'star': 3}
{'descr': '很平价，凑合吧。对得起这个价钱。。。。。。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '很平价，凑合吧。对得起这个价钱。。。。。。', 'star': 5}
{'descr': '地理位置不错，性价比比较高。可惜没有早餐，透光性一般', 'star': 5}
{'descr': '房间较小。。有些压抑............很一般............', 'star': 3}
{'descr': '追求品质的不适合住。基本都是没窗的房间，但是换气系统还行，没特别的异味。', 'star': 5}
{'descr': '環境還行', 'star': 3}
{'descr': '总体还可以，刚进来的时候觉得走廊像个迷宫好久才找到，不过知道位置就好找了。就是晚上被蚊子烦了一夜很郁闷！', 'star': 5}
{'descr': '不错，虽然没有窗，但有空调和换气设备，不觉闷。', 'star': 3}
{'descr': '服务态度非常好，不管是前台还是服务员，我下次还住。', 'star': 5}
{'descr': '这个宾馆的环境还不错，就是地方偏了点，交通不太方便。', 'star': 5}
{'descr': '空间小点。', 'star': 3}
{'descr': '位置还可以，好找；那一层房间很多，像迷宫一样，我们住的那间没有窗户，一股霉味~很多空房间的门都敞开着~', 'star': 1}
