{'短评内容': '住宿体验非常好', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '整体感觉良好，推荐', '短评打分': 4}
{'短评内容': '整体感觉良好，推荐', '短评打分': 4}
{'短评内容': '可以 交通也方便', '短评打分': 5}
{'短评内容': '很满意，交通便利', '短评打分': 5}
{'短评内容': '非常不错，位置好，干净', '短评打分': 5}
{'短评内容': '好像是这样', '短评打分': 5}
{'短评内容': '基本上和描述还是比较相符的，剃须刀是问前台才给了一副，说有洗衣机但是没有。整体来说还是不错的。可以放心入住', '短评打分': 4}
{'短评内容': '真的很一般 房间很小 厕所也很小 热水也有问题 洗澡都不能解决 另外喝热水最好买矿泉水烧开 自来水有水垢 不过还好地理位置很不错 离火车站也很近', '短评打分': 3}
{'短评内容': '除了卫生间小点，其他都满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间太小，通风也不是太好，价格倒是不算太贵', '短评打分': 4}
{'短评内容': '临街 稍有点吵闹 卫生不错 新装修', '短评打分': 5}
{'短评内容': '临街 稍有点吵闹 卫生不错 新装修', '短评打分': 5}
{'短评内容': '很好 干净舒适 下次还会再来', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': 'NO GOOD', '短评打分': 3}
