{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '浴室的什么破喷头，就这一个理由足以差评', '短评打分': 1}
{'短评内容': '位置比较方便', '短评打分': 5}
{'短评内容': '隔音一般吧', '短评打分': 4}
{'短评内容': '酒店还行，定的房间没了，免费升级了一个房间，没有电梯，出行一般，处于望京和望京西地铁站的中间，好在有共享单车！总体不错，卫生好！', '短评打分': 5}
{'短评内容': '对方莫名给我取消了 优惠券也废掉了 差评', '短评打分': 5}
{'短评内容': '不错?', '短评打分': 5}
{'短评内容': '房间小又破。酒店位于小区内，不能停车。服务员不专业，刷卡机刷不了卡。设备设施陈旧，欠维护。', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '是小区的售楼部改装的酒店，如果不是携程，真不知道有这么个地方。位置在小区里面。旁边小门有家不错的饭店，吃早餐方便。', '短评打分': 3}
{'短评内容': '每次都住着，很安静', '短评打分': 5}
{'短评内容': '还是有点小，略拥挤', '短评打分': 5}
{'短评内容': '安全性高，其它都一般，房间小，吃饭要到外面去，酒店只能特定的时间点快餐，住一楼有些吵。服务态度一般。', '短评打分': 4}
{'短评内容': '总体来说还不错，离地铁不算远，下次还会来这里住的！', '短评打分': 5}
{'短评内容': '在居民小区里面，不好找，小去进出刷卡，门卫高兴时给开门，不高兴就不开门，需要等小区居民进出随着进出。房间隔音差，隔壁住客吵架，晚上影响休息。离地铁站远，走10多分钟，吃饭在地铁站附近。没有行李架，只能放地下，只有两个挂衣服钩。设施一般，有些旧，早餐18元，小贵呀。再有就是没有电梯，行李自己提上楼。正赶上楼下装修，油漆味大，头疼。', '短评打分': 4}
{'短评内容': '没有一次性纸杯', '短评打分': 3}
