{'短评内容': '京东购物快捷放心，一直在京东购物', '短评打分': 5}
{'短评内容': '设备太差，没电视，网络也慢的跟2G网似的。', '短评打分': 3}
{'短评内容': '服务很不错，很热情也很负责任，就是环境差了一点，临近公路，有点嘈杂，屋里设施有点老旧，其他都不错', '短评打分': 4}
{'短评内容': '房间卫生并不好，前台服务特别差，是特别差！！！下次宁愿多掏钱也不愿意来这家了。前台那个姑娘服务真的超级差劲。', '短评打分': 2}
{'短评内容': '经济实惠，下次还来', '短评打分': 5}
{'短评内容': '还能接受', '短评打分': 4}
{'短评内容': '送货快，很好，相信京东。。。。。。。。。', '短评打分': 5}
{'短评内容': '好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '酒店服务不错交通便利', '短评打分': 5}
{'短评内容': '酒店服务不错交通便利', '短评打分': 2}
{'短评内容': 'wifi门口信号好，屋里特别差。电视信号快点修好吧，雪花屏没声音也太差了。经常住的酒店，房间大小床大小都很好。就是信号太差了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格比较优惠，环境还可以，就是设备有些老了，看得出是一个老宾馆了。服务人员态度很好，下次还会来光顾。', '短评打分': 5}
{'短评内容': '房间还算干净，就是屋里的灯光不够亮，空间不算大', '短评打分': 3}
{'短评内容': '环境还可以，就是空调不太热，有点冷', '短评打分': 5}
{'短评内容': '还可以，就是暖气声音很大，轰隆隆的～', '短评打分': 5}
{'短评内容': '酒店还是比较干净，整洁的', '短评打分': 5}
{'短评内容': '房间小\\设施陈旧\\,最怪的是服务态度不好,而且无安全性可言!', '短评打分': 1}
{'短评内容': '酒店地理位置不错啊，距离鸟巢、水立方比较近，距离清华北大也很近，周边有些不错的小店，吃饭比较方便，价格也比较实惠，很满意。', '短评打分': 5}
{'短评内容': '交通方便 环境一般 用餐方便\n适合旅游 短时使用\n', '短评打分': 5}
{'短评内容': '服务态度一般，床单不干净。当时看外面还可以，里面不咋样，有味道。', '短评打分': 1}
{'短评内容': '今天已经入住，总体还不错，今天房间上网出了点小问题，维护服务人员非常热情地帮忙处理，很快搞就搞好了。房间设施比较陈旧，卫生条件还好，主要是离周边的学校很近，比较经济实惠。', '短评打分': 5}
{'短评内容': '还行，稍贵', '短评打分': 3}
{'短评内容': '酒店设施蛮陈旧的，房间也比较小，价格虽然不特别贵但性价比不算高', '短评打分': 1}
{'短评内容': '宾馆设施很差，卫生间水排不出去，半夜还有陌生人来开门', '短评打分': 3}
{'短评内容': '只剩标间了，环境还不错，主要是位置离学校挺近的，酒店人员服务态度很好，旁边有麦当劳，物美卖场，购物出行都很方便。酒店的卫生也算不错的了，我住6层，晚上不会感到吵闹，总体来说运鸿宾馆还不错~', '短评打分': 5}
{'短评内容': '洗澡间没有门，只有一块布；洗手间的锁被撬了，门关不住；卧室只有两个床头灯，比较暗；牙膏不太容易弄开；别的都还可以~', '短评打分': 5}
{'短评内容': '很好了，服务员态度不错！考研期间住哪不错', '短评打分': 5}
{'短评内容': '装修看上去像上个世纪的一样,老旧破。墙纸翘边,地板翘角,一大股霉味。不知在北京这个价格是不是只能是这种档次?', '短评打分': 3}
{'短评内容': '房间很破，服务很好', '短评打分': 3}
{'短评内容': '环境还可以，交通方便。就是有点陈旧，房间有点小。', '短评打分': 5}
{'短评内容': '好评。经济、服务好、', '短评打分': 3}
{'短评内容': '面积小点，设备陈旧。但是地理位置还是不错的。价格较低，性价比还算可以。', '短评打分': 5}
{'短评内容': '环境还不错，就是晚上路上过车的时候会有点吵，挨着窗户的床铺会有小风吹过~', '短评打分': 5}
{'短评内容': '宾馆价格适中，位置很好，交通方便。最使我感动的是这里的服务员心很细：入住期间我老婆来例假，服务员打扫卫生后发现纸篓中的卫生巾，特意送到房间三卷卫生纸。点滴的关心让人旅途中感到无尽的温暖。这里一并谢谢那位不知名的服务员。', '短评打分': 5}
{'短评内容': '环境还好，就是太吵人，早晨6点多就开始有很大声音开始叫我起床啦，真郁闷！下次不会来这里啦，还好才住一晚', '短评打分': 1}
{'短评内容': '设施陈旧，不过出入方便。价格合适。周围吃的很多。附近北医三院，三0六医院。', '短评打分': 1}
{'短评内容': '设施勉强可以，价格还不错。很适合学生一族。。。', '短评打分': 5}
{'短评内容': '己住下', '短评打分': 3}
{'短评内容': '这个酒店还可以', '短评打分': 3}
{'短评内容': '普通的一家酒店，地理位置非常好，靠近北京科技大学，很方便去学校办事。', '短评打分': 5}
{'短评内容': '还可以  就是有点冷    不过帮忙解决了   虽然还是很冷', '短评打分': 5}
{'短评内容': '满意。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '价格挺实惠的，前台接待挺耐心的，位置挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间蛮干净，有宽带能上网，停车也蛮方便，服务人员办理手续挺快的。', '短评打分': 3}
{'短评内容': '酒店外观挺简单的，服务人员说话挺客气的，价格还比较便宜。', '短评打分': 3}
{'短评内容': '房间卫生还红啊，设施摆放的挺整齐，热水质量挺好，用着挺舒服。', '短评打分': 3}
{'短评内容': '服务态度还好，房间里挺干净，设施有些陈旧，价格还能接受，总体感觉还好。', '短评打分': 3}
{'短评内容': '这家酒店就是位置挺好，交通便利，价格比较合适。', '短评打分': 5}
{'短评内容': '位置挺好，交通挺便利，服务态度挺好，服务挺周到。', '短评打分': 3}
