{'短评内容': '服务超级好', '短评打分': 5}
{'短评内容': '早餐好，住的环境也太好了，住过的酒店很多，美丽豪酒店的卫生服务都是最好的，下次去还会住在美丽豪酒店的', '短评打分': 5}
{'短评内容': '酒店很贴心 服务态度很好', '短评打分': 5}
{'短评内容': '酒店整体服务特别好    环境也很漂亮   张烨先生也很热情！！！！nice', '短评打分': 5}
{'短评内容': '服务很满意   环境也干净    早餐也好吃呢！！张烨先生服务也很到位！！！', '短评打分': 5}
{'短评内容': '服务超级热情～东西好全  卸妆油 皮筋儿啥的   还有  他家拖鞋好！', '短评打分': 5}
{'短评内容': '酒店卫生，服务好，交通便利，离地铁口近，出行方便。', '短评打分': 5}
{'短评内容': '这个酒店十分不错 前台服务人员态度很好 房间内的设施配备齐全 床垫子很舒服 给人一种舒适的感觉 而且还免查房十分信任客人 以后来这边还会住这家', '短评打分': 5}
{'短评内容': '服务太度一般', '短评打分': 4}
{'短评内容': '临时在大连过个夜 将就将就', '短评打分': 3}
{'短评内容': '价格实在', '短评打分': 5}
{'短评内容': '不错不错，挺好的酒店，下次一定会再来的哈哈哈哈哈哈哈，环境不错，地段也比较容易找到，里面的前台服务质量也挺好的！', '短评打分': 5}
{'短评内容': '整体来说性价比较好', '短评打分': 5}
{'短评内容': '安静卫生，冬暖夏凉，现在住宿价格十分便宜。', '短评打分': 5}
{'短评内容': '安静卫生，冬暖夏凉，现在住宿价格十分便宜。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
