{'短评内容': '酒店比较宽敞', '短评打分': 2}
{'短评内容': '房间卫生很好，服务不错', '短评打分': 5}
{'短评内容': '携程网订单竟然比酒店高出四十元钱，酒店188有早餐携程228没餐', '短评打分': 2}
{'短评内容': '网上定的不含早餐。前台办理同样价格含双早！价格不厚道', '短评打分': 2}
{'短评内容': '携程上说，酒店里游泳池，到了一问，工作人员说根本没有，而且健身设施、KTV等娱乐休闲设施全部要另外收费，差评，哪里算得上三星级', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '也就这样了，感觉比较老了', '短评打分': 3}
{'短评内容': '位置非常好，离高速公路特别近，附近吃饭的地方很多，离县委很近，有一个大的公园', '短评打分': 5}
{'短评内容': '酒店还不错，早餐也可以，好评！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '对于县里面的酒店来说，还是可以，前台服务意识基本没有，细节还是很粗糙', '短评打分': 3}
{'短评内容': '性价比还行，一个县城能有这样的酒店也算不错了，服务基本没有，早餐很是一般，不过这个价格也算可以了！', '短评打分': 5}
{'短评内容': '作为县城的宾馆，条件还是不错的。', '短评打分': 3}
{'短评内容': '.已入住卢龙大酒店.感觉很好，服务员有礼貌，酒店硬件也可以.再来还住！', '短评打分': 3}
{'短评内容': '酒店不错，确实是县城最好的。安静、干净，就是床有点硬，不舒服。到北戴河高速20块', '短评打分': 5}
{'短评内容': '酒店不错，环境也好，卫生不错，早餐也可以，应该是卢龙最好的酒店，就是离海边有点远，做个中转站也还可以。', '短评打分': 5}
{'短评内容': '新开业，酒店干净卫生，绝对物超所值。推荐入住。', '短评打分': 5}
{'短评内容': '酒店离高速路口不远，适合自驾，没想到还是四星，不错，不过早餐配不上四星。', '短评打分': 5}
