{'短评内容': '当地老牌宾馆乐趣，没早餐，不过房间还可以', '短评打分': 4}
{'短评内容': '酒店位置挺好', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '物美价廉，性价比很高。 设施也不错，质量无瑕疵', '短评打分': 5}
{'短评内容': '环境不错，服务很好。值得分享', '短评打分': 5}
{'短评内容': '环境不错，服务很好。值得分享', '短评打分': 5}
{'短评内容': '环境很好服务不错，值得分享', '短评打分': 5}
{'短评内容': 'yi ban ', '短评打分': 3}
{'短评内容': '住了很多次了，房间比较宽敞，比较卫生，就是设备有点旧。', '短评打分': 5}
{'短评内容': '酒店有一部分房间新装修过，还好。就是房间的暖气过热了，有点浪费，晚上睡觉要把窗户开一点才行。洗手间的热水到午夜就没有了，不是很方便。早餐一般般。其它都还好。', '短评打分': 4}
{'短评内容': '太一般，优点就是房间比较宽敞。。。热水要放好久。。。', '短评打分': 4}
{'短评内容': '还行aaassssssssszs', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还算可以', '短评打分': 4}
{'短评内容': '酒店装修，太吵，很早把人吵醒', '短评打分': 3}
{'短评内容': '一  酒店位置很方便\n二  房间茶叶要收费的，请住客注意\n三  楼层服务态度很好\n四 总服务台 个别服务员态度很差，有损宾馆形象\n五  有的房间超冷  空调治冷不制热，根本没法住。这就是订房时为什么会提醒冬天空调制冷不制热的原因。\n', '短评打分': 5}
{'短评内容': '我想说我去的几天遇停电，可能是在修路的缘故..宾馆很给力的自己发电来着..总体感觉良好。短短几天很舒适，卫生清理的很好。本人喜欢的人就在那个小城，所以看这个宾馆也格外亲切', '短评打分': 5}
