{'短评内容': '环境挺好，前台特别好，人特别正直', '短评打分': 4}
{'短评内容': '还可以的～就是毛巾坏的', '短评打分': 5}
{'短评内容': '房间刚开门就怀疑是不是开了暖气，闷热的不像话，开了空调几个小时才没那么热，房间挺大，隔音也还好，', '短评打分': 5}
{'短评内容': '开导开导开导开导贷款', '短评打分': 4}
{'短评内容': '地理位置很好，步行就到了山塘街，晚上夜景很漂亮，酒店便宜，环境也不错', '短评打分': 5}
{'短评内容': '酒店除了在步行街没有别的优点。', '短评打分': 4}
{'短评内容': '位置很好，靠近地铁口附近吃玩都不错', '短评打分': 5}
{'短评内容': '出行方便，挺好的', '短评打分': 5}
{'短评内容': '已是多次入住了，比较方便！', '短评打分': 4}
{'短评内容': '价格实惠，位置好', '短评打分': 5}
{'短评内容': '实在是没法说，地摊脏的要死，有电脑，但是没音响，只能无声看电影，大早上没热水，12月份的冷水洗漱冻死人，不会去第二次', '短评打分': 2}
{'短评内容': '这个价位，这个地段，还可以吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就是地理位置好，其他的都一般吧，酒店前台蛮凶的，结账流水单也没有，就是私人开的宾馆，很多方面都有待改善', '短评打分': 4}
{'短评内容': '地理位置极佳，交通非常便捷，到各个旅游热点地区都很方便！！', '短评打分': 5}
