{'短评内容': '一直都是这样的好啊，可惜涨价啦！性价比还可以', '短评打分': 5}
{'短评内容': 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh公告  咯咯咯咯咯咕咕咕咕', '短评打分': 5}
{'短评内容': '还可以啊，值得考虑一下吧！', '短评打分': 5}
{'短评内容': '位置可以。', '短评打分': 4}
{'短评内容': '好红红火火恍恍惚惚哈哈哈', '短评打分': 5}
{'短评内容': '还不错，第二次去了，网速可以', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '环境条件很一般', '短评打分': 3}
{'短评内容': '哈哈哈哈&ldquo;，好红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间大小合适，整洁干净，卫生打扫的也很仔细，性价比很高吖！五星好评。', '短评打分': 5}
{'短评内容': '&ldquo;好&ldquo;好&ldquo;好好红红火火恍恍惚惚&rdquo;', '短评打分': 5}
{'短评内容': '本不错的酒店，性价比很高的，好好好！', '短评打分': 5}
{'短评内容': '&ldquo;好红红火火恍恍惚惚&rdquo;', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '跟律师朋友出差的，酒店对面就是法院！有相关方面需求的朋友可以考虑考虑，相当方便！就是周围没有什么便利店', '短评打分': 5}
{'短评内容': '去开庭的，在椒江法院斜对面，所以离得很近，位置俱佳，服务不错，离吃饭的地方不远，性价比可以。房间灯光有点暗，总之离法院近是最大优点，适合来开庭的同行。', '短评打分': 4}
{'短评内容': '公司出差订的。外观看上去不咋的，就是经济连锁型的酒店。里面设施简洁，卫生情况还可以，一般出差住住还行。', '短评打分': 4}
{'短评内容': '不错的，有机会还会住，地理位置不错，后面一条街全是吃饭的，我感觉我评论已经不少了但是万恶的还差一个字', '短评打分': 4}
{'短评内容': '可以，还行，，，，，，，，。。', '短评打分': 4}
{'短评内容': '可以！性价比比较高！值得去住！', '短评打分': 5}
{'短评内容': '可以！性价比比较高！值得去住！', '短评打分': 5}
{'短评内容': '可以！性价比比较高！值得去住！', '短评打分': 5}
{'短评内容': '可以！性价比比较高！值得去住！', '短评打分': 5}
{'短评内容': '房间算宽敞，但总有股子烟味，网速还算快，上网很流畅，早餐品种较少。不给提供免费的洗漱用品。', '短评打分': 4}
