{'短评内容': '经济实惠，老板娘很热情', '短评打分': 5}
{'短评内容': '房间设施非常一般，到的时候已经很晚了，但服务员很热情，酒店靠近海边，周边美食还可以，但是房间环境很一般，不推荐', '短评打分': 3}
{'短评内容': '不错的老板', '短评打分': 5}
{'短评内容': '屋子比我想象的好，住在二楼，环境挺好的，晚上如果凉可以开点空调！距离海边很近，一个小渔村，附近吃的也很多，就是停车有点费劲，街道都太窄，最好早去！', '短评打分': 5}
{'短评内容': '都不错，菜做的也很好吃，渔家也很热情！', '短评打分': 5}
{'短评内容': '性价比一般般吧。这边也有酒店也便宜。', '短评打分': 3}
{'短评内容': '老板一家人都很好，饭菜量非常大，比较适合自驾游', '短评打分': 4}
{'短评内容': '主任很热情，态度很好，下次还来', '短评打分': 5}
{'短评内容': '位置不错，离海边不算太远。老板人很热情，接车，帮助买海鲜，推荐各种路线等。设施还可以，大炕就是房间整体不算太大，卫生可以，洗澡水流有点小。', '短评打分': 4}
{'短评内容': '在渔村能有这样的设施很不错了，房间不算小，也挺干净，就是被子小了点，脚都盖不住，老板人很好，请我们吃他们晚饭时的鱼尝尝味道', '短评打分': 5}
{'短评内容': '日照志成渔家推荐入住', '短评打分': 3}
