{'短评内容': '真不错，舒适干净。房间很大很舒服。', '短评打分': 5}
{'短评内容': '朋友过来玩，定在这里招待他们，非常有面子。价格实惠，服务到位', '短评打分': 5}
{'短评内容': '良好', '短评打分': 4}
{'短评内容': '听过黄家驹家', '短评打分': 5}
{'短评内容': '我订的是大床房，没有早餐的，在网上订的价格是189，结果在前台开票时只有168，公司出差，自己赔了21', '短评打分': 4}
{'短评内容': '早餐很一般，反正吃着那么回事，房间挺安静的，设施还行吧，我们是两个人住的标间，感觉还可以了，房间也挺大', '短评打分': 4}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务到位，满意', '短评打分': 5}
{'短评内容': 'The reception who check me in was very rude. I book the hotel through Ctrip with 2 breakfasts but was only given one coupon. When I ask for another breakfast coupon for my partner, she told me she nee', '短评打分': 2}
{'短评内容': '酒店不错，早餐菜多，主食少了点，电视机老了点', '短评打分': 5}
{'短评内容': 'The location is good and near to lots of shops. The room was clean but the guest in other rooms do not close their room door and are noisy.', '短评打分': 4}
{'短评内容': '酒店还不错，就是房间皮草不怎么好', '短评打分': 4}
{'短评内容': '这几年出行住过最差的酒店，酒店的K丅V太吵了，原来住在八楼KTV唱歌的声音如同耳边响起，与酒店申请了半天得以免费升级到十二楼，还是一直听到kTV的动感音乐，也是醉了，建议携程网别推荐这家酒店，不难投诉率肯定高', '短评打分': 2}
{'短评内容': '位置比较偏', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通便利，但房间老旧了，有发霉味道.', '短评打分': 5}
{'短评内容': '还不错，性价比', '短评打分': 4}
{'短评内容': '酒店居然没窗户，很闷，没空气，隔音效果不好，半夜很吵。其他的还好', '短评打分': 3}
{'短评内容': '就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事就这么回事', '短评打分': 5}
{'短评内容': '真的很好，下次还入住 真的很好，下次还入住 真真的很好，下次还入住 的很好，下次还入住 真的很好，下次还入住', '短评打分': 5}
{'短评内容': '挺不错的酒店，一切都很好，值得再次入住，下次一定去', '短评打分': 5}
{'短评内容': '服务不行，房间太小，早餐不是一般的差劲。', '短评打分': 1}
{'短评内容': '服务一般，网上和实际情况不相符。早餐太差劲。', '短评打分': 1}
