{'descr': '国庆出游住的，性价比高，离 天安门等景点不远，交通便利', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务好，卫生干净，不错。', 'star': 5}
{'descr': '交通比较方便', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '卫生比想象中稍微好一点。以前住的时候不管怎么通风，卫生间都有异味，这次没有。但是它的窗户封又没封死，晚上蚊子很多！', 'star': 3}
{'descr': '地段可以，酒店一般', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '住过一次了，还可以，离办事的地方近。没停车的地方。', 'star': 3}
{'descr': '好的  不错', 'star': 4}
{'descr': '交通较便利，地理位置不错', 'star': 4}
{'descr': '挺不错的地方，经济实惠。', 'star': 5}
{'descr': '国庆节期间价格有点小贵，但毕竟在西单附近，还能接受', 'star': 5}
{'descr': '入住环境还可以，价格有点小贵，但毕竟是在西单附近啊，国庆节期间还可以接受', 'star': 5}
{'descr': '酒店位置不错，但房间配套一半!窗子太小，一进门还有点霉味。', 'star': 3}
{'descr': '卫生状况不错，前台很忙乱，整理打扫较慢，位置不错在新华社西门，总体还行', 'star': 3}
{'descr': '卫生条件不错，就是服务还没跟上。希望能在服务上加强。', 'star': 5}
{'descr': '以后不会在入住这家酒店，体验一个晚上其实我没睡，看欧洲杯了！\n房间布局真是有创意（哈哈），不信邪可以体验一晚入住！', 'star': 5}
{'descr': '地理位置较好，离1、2、4号线地铁站都不远。附近晚上的夜市饭店很好。\n上网受限制。我们登记了两个房间，给房卡时也没说，晚上回来才知必须按酒店指定的房间住才能上网。尤其不好。\n前台的服务让我不能接受，包括一位管理人员，总在处理自己事情而不回答我们的问题。从登记入住，到解决网络，均不太满意\n房间洗漱用品不免费，但没像7天酒店一样事先说明。\n后来我们就搬到旁边的汉庭快捷酒店去了，服务好多了', 'star': 5}
{'descr': '房间很狭小，我住的是二楼的房间，房间里有股怪味。无一次性用品。卫生间，洗浴室没有门。隔音很差。隔壁的电视声音都能听得很清楚。窗户几乎开不开！就住了一次。', 'star': 1}
{'descr': '挺好的，感觉不舒服的就是窗户在走廊上', 'star': 3}
{'descr': '不怎么样,各方面都不到位,而且建议公检法系统予以检查                    ', 'star': 1}
{'descr': '是有些不太好找，但基本设施啥的都不错，价位也可以', 'star': 5}
{'descr': '临近新华社，离宣武门地铁站和长椿街地铁站步行都是10分钟左右，在北京这地方，价格还算适中；出门是一条小吃街，适合三五好友小聚，还有一些日用品小店，生活气息浓厚。缺点是房间太小，有点挤，可能是由以前其它用途的房子改建的缘故；设施旧了点，而且牙膏牙刷要收费（5元/套）。总的来说，如果只是在附近办点事，还算实惠。', 'star': 5}
{'descr': '房间味道很大，也不是很干净，胜在还比较安静，服务态度很好。', 'star': 3}
{'descr': '交通很便利，去西单走路也没问题，周边小吃很多，有一家刀削面非常地道！', 'star': 3}
{'descr': '房间很小巧，但是隔音效果不好。有些不太好找。如果对北京不熟悉得人，会找不到。', 'star': 5}
{'descr': '有些吵', 'star': 3}
{'descr': '非常好，办理入住手续很快速', 'star': 3}
{'descr': '环境还好 设施全 就是隔音差', 'star': 3}
{'descr': ' 房间卫生不错,但隔音较差,牙刷等小件收费。', 'star': 3}
{'descr': '房间不错，就是价钱贵点，而且没有免费的洗浴用品，位置不错，挺好找的，去哪都方便', 'star': 5}
{'descr': '好，不错！好，不错！好，不错！好，不错！', 'star': 5}
{'descr': '交通比较方便，地铁，公交站都离得不远，住的附近有饭店，一日三餐都可以解决。服务还行吧。', 'star': 5}
{'descr': '住三楼，床上还有蚂蚁…', 'star': 3}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '房间比较小，北京就这样', 'star': 3}
{'descr': '价格还可以，如果不太讲究服务、热情等，还可以。但对我自己来说实在不行，经济型酒店中的下品', 'star': 1}
{'descr': '比如家好', 'star': 3}
{'descr': '前台人员专业知识不够，服务意识很差，房间阴暗潮湿，房间太小，设施不完善，毛巾浴巾等用品还有窟窿，哎，不说了，总之不好！', 'star': 1}
{'descr': '还可以，就是北京的价格贵了点，环境安静，小四合院那种。交通也方便，三站就到西站。\n还可以，就是北京的价格贵了点，环境安静，小四合院那种。交通也方便，三站就到西站。', 'star': 5}
{'descr': '还不错  服务啥的都还可以 宣武门地铁A口 走路5-7分钟 别妄想能走到西单 还是比较远的  踏踏实实坐一站地铁挺好 房间的窗户为啥没纱窗呢  开窗户怕放蚊子 不开就只能开空调了   不过总体来说  还是不错的  值得推荐', 'star': 5}
{'descr': '位置好，周边餐饮方便，但是房间潮湿，被子不舒服。建议改进，同时增加牙刷牙具，没几个钱，方便客户。另外，服务员太差，打不起精神，像没睡醒似的，对顾客爱理不理的。', 'star': 5}
{'descr': '离宣武门地铁站比较近，可以方便的做2号和4号线，周围是居民区，吃饭很方便实惠，这次住的是3楼的商务大床房，房间不大，设施还行，热水很足，洗澡舒服。', 'star': 5}
{'descr': '：酒店设备还可以，房间还干净，只是酒店在胡同内，车辆大一些无法进入。', 'star': 3}
{'descr': '酒店所处地理位置不错，交通方便，周围小超市和小餐馆很多，就是酒店小了点，房间通风也不是很好，感觉不如汉庭之类舒服，另外打扫卫生的服务员不够仔细认真，换东西和整理好像不是那么专业，总台那里，几位男生还是不错，态度热情积极，几位女服务员虽然也回应你，但没有微笑和热情，感觉不是那么好。总的来说，这个地段，这个价格应该是值了。', 'star': 1}
{'descr': '服务员态度太差，床垫不舒服要求换，只是一味的答应却没有行动，敷衍了事，不是待客之道。住的不舒服，憋气。受了三天的罪最后还是在附近另找了家旅馆，住的比原来的好多了。', 'star': 1}
{'descr': '条件和服务一般', 'star': 3}
{'descr': '居住的地方吃饭非常方便，交通也不错，住的商务大床房，有点挤，可能标间会大点。希望服务员的态度再好点，多点微笑', 'star': 5}
{'descr': '还好吧  位置不错，离西单、天安门挺近，定了个大床房，标的是1.8*2.0米，结果到店后，告知就是1.5米的床，态度还不好。', 'star': 5}
{'descr': '位置不错,离地铁比较近!也比较安静.\n其它很一般.', 'star': 5}
{'descr': '设施环境堪比如家和七天，甚至更好，但唯一当时住的地下大床房，湿气重，有点湿气味儿。其他都不错。', 'star': 5}
{'descr': '地理位置很方便，一出门5分钟就可坐2号地铁，很好找\n床很大，带小孩的可以考虑\n吃饭很方便，附近的庆丰包子铺很实惠，吃的很舒服\n旁边还有超市\n不足的地方：家里见不上阳光，有点阴\n总的说：旅游还是不错的\n', 'star': 5}
{'descr': '性价比很好，离地铁很近。就是装修不好点。', 'star': 5}
{'descr': '位置不错，离西单商业街很近，离宣武门地铁站（2.4号线）也很近，步行约10分钟， 去天安门，德胜门（去八达岭 十三陵发发车的地方）都很方便。\n酒店比较小，房间也比较小（大床房），隔音不太好，不过就是晚上睡个觉，也足够了，另外，房间内洗漱用品均是收费的。周围吃早饭的地方很少，但是离庆丰包子铺很近（包子，面条，馄饨）。\n总体说，优点是位置好，缺点是房间小。', 'star': 5}
{'descr': '服务比广东的岭南差很多，环境很旧，唉，有点失望！', 'star': 1}
{'descr': '地段很可以，到地铁4号线和2号线都大约10分钟的路程，出行比较方便。不足之处是地方太小了，（床倒真的是很大）设施也相对简陋了一点。', 'star': 5}
{'descr': '挺好的，性价比高！挺好的，性价比高！挺好的，性价比高！', 'star': 5}
{'descr': '旅游高峰期定的。 卫生间反臭的厉害，不会再去的', 'star': 1}
{'descr': '经济实惠，出行方便，我以后还会选择这家酒店', 'star': 5}
{'descr': '非常好！非常好！非常好！非常好！非常好！', 'star': 5}
{'descr': '酒店设施不全，服务人员态度不好，房间小，而且还返潮，浴室地漏不是特别通，热水壶是坏的，保险锁也是坏的，房间不是很干净，空调有味道，连楼道里都是发霉的味道。很不好找，周围卖东西的地方很少。', 'star': 1}
{'descr': '位置离西单比较近，不错，只是隔音有点问题，靠着走廊，说话听的一清二楚，还有就是我没有在房间找到洗发水……不知道别的房间怎么样', 'star': 5}
{'descr': '位置好，出行方便，很好。很好很好！交通也很方便', 'star': 5}
{'descr': '地下室有点潮但是商家给放了电扇，夏天不要开空调就可以。网络不能使用。', 'star': 5}
{'descr': '非常好，真的非常好！非常好！非常好！非常好！非常好！非常好！非常好！非常好！', 'star': 5}
{'descr': '前台服务人员态度不好，该配备的物品短斤缺两，不推荐', 'star': 1}
