{'短评内容': '非常不好的回忆。。', '短评打分': 3}
{'短评内容': '位置有点偏僻  比较破', '短评打分': 3}
{'短评内容': '酒店服务可以！适合带孩子！', '短评打分': 3}
{'短评内容': '早餐没有吃！适合带孩子！没有一次性鞋子！洗澡还是热水器！', '短评打分': 3}
{'短评内容': '都有窗户。挺不错的。', '短评打分': 5}
{'短评内容': '这个酒店就是个坑，电梯，房间，床上用品，洗手间……这种酒店。居然也要这个价格……简直就是个炮房，NMD！', '短评打分': 1}
{'短评内容': '携程定的金额是¥128，现场酒店不认这个价，说携程在乱搞、没跟他们确认。最后是补了差额的房费，才入住。', '短评打分': 3}
{'短评内容': '感觉还行！预定的比较便宜！', '短评打分': 3}
{'短评内容': '总体感觉一般吧', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '不错，可以，', '短评打分': 4}
{'短评内容': '周围生活方便，离地铁站也不远，老板人很热请，很巧这间房有电脑，感觉这个价位真是不错。', '短评打分': 4}
{'短评内容': '住宿环境不错，很舒适，楼层有点高', '短评打分': 3}
{'短评内容': '好呀家妈妈妈们 哈考啊', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店工作人员态度极差！气的我打了三次电话给携程进行处理  已经确认的订单到了酒店被告知没房间了！垃圾！最后弄了个圆床房心里也不是很舒服  连烧水壶都是坏的！厕所小的只能放个马桶和洗手池  128一点都不值！', '短评打分': 1}
