{'短评内容': '好恍恍惚惚恍恍惚惚恍恍惚惚', '短评打分': 5}
{'短评内容': '没有早餐 不能加床，对于中卫这个小地方而言。这个酒店的价格实在是高得离谱，标间居然要400？而且供应的热水根本不热，洗澡就会感觉到很冷', '短评打分': 1}
{'短评内容': '酒店位置挺好的 离小吃街还近 离火车站也近 门口是有免费停车的 房间设施一般 但该有都有 服务态度好', '短评打分': 5}
{'短评内容': '床太硬了，灰尘比较多。位置比较好。中评吧。', '短评打分': 3}
{'短评内容': '觉得性价比还不错，所以第二次选择入住。但半夜有人在客房和楼道内吵架，而且不止一次，真是让人无语。我想上下左右甚至整栋楼的人都应该被严重骚扰了。', '短评打分': 4}
{'短评内容': '挺好的，住的很舒心。京东订酒店还是很方便的。', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '不咋地啊，卫生条件很一般，洗澡水很差', '短评打分': 2}
{'短评内容': '国庆第一天入住说是我到店完我订的房没有了，给我的是我订的房的升级房，第二、三天给我的是标间，但我订的是豪华单间根本没有沙发这些，窗子外是工作人员过道一直有对讲机声音', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还算好吧！', '短评打分': 5}
{'短评内容': '水的质量很一般，热水热起来比较慢', '短评打分': 3}
{'短评内容': '还算不错 三人间 一开始房间搞错了 前台美女很快就给换了  服务不错  住的那天很冷 刚下完雨  窗户有点透风  其他还好吧  附近没什么吃的', '短评打分': 3}
{'短评内容': '和其他客人一样，我们认为，中卫不错！', '短评打分': 3}
{'短评内容': '中卫这个城市和这个酒店，我觉得都很好！', '短评打分': 3}
{'短评内容': '十一去住的，提前订了，价格涨的不是很大，地理位置很好', '短评打分': 3}
{'短评内容': '我订的标准间，房间相当不错，性价比很高，前台服务态度很好，交通也非常便利，如果去沙坡头玩，在中卫市住一夜，很值得向大家推荐。出酒店向右走100米就有几家吃饭的地方，向大家推荐：“印象中卫民俗村”餐厅，非常干净卫生，价格也不贵，可以一试。另：酒店离中卫的中心、鼓楼都非常近，走10分钟即到。', '短评打分': 5}
{'短评内容': '酒店房间还是不错的，就是我们入住当天下大暴雨，惨得很，找不到地方吃饭，呵呵', '短评打分': 5}
{'短评内容': '订市中心四星酒店 旺季没房了 只有它有房  较方便 设施一般。服务员热情。', '短评打分': 5}
