{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '总体都不错，就是空调有杂音。', '短评打分': 5}
{'短评内容': '酒店破旧 ，空调坏了，环境很吵', '短评打分': 2}
{'短评内容': '有蟑螂。', '短评打分': 5}
{'短评内容': '交通方便、卫生', '短评打分': 5}
{'短评内容': '好评。。。。。。。。', '短评打分': 5}
{'短评内容': '卫生干净，离火车站近，方便！', '短评打分': 5}
{'短评内容': '满意满意满意满意满意满意满意满意', '短评打分': 5}
{'短评内容': '满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意', '短评打分': 5}
{'短评内容': '京东真不错', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '离北站就是一个十字路口的距离，但是北站本来就比较偏，周边的环境不是很好，房间里面的很多装修已经老旧，和招待所差不多，就是方便而已。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店还是不错，性价比高', '短评打分': 5}
{'短评内容': '酒店环境较差', '短评打分': 1}
{'短评内容': '房间很干净，很大', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '房间很大，离北站很近', '短评打分': 5}
{'短评内容': '火车站边上还有什么好挑的，住宿，旅馆', '短评打分': 4}
{'短评内容': '说真的，离车站真的不算远。往东广场那边走，过个天桥马路就到了。外面看不咋滴，但是里面还是挺好的。看起来蛮干净的，也没有其他人说的什么有味道。房子挺大的，空间足，光线也不错。因为房子窗口不是向北站那边，所以拍不到。还是挺不错的。', '短评打分': 5}
{'短评内容': '总体来说还是不错的 房间比较大 双人房的床也超大 一个床都足以睡下两个人 前台接待也比较热情 唯一就是Wi-Fi信号好慢', '短评打分': 5}
{'短评内容': '还ok了', '短评打分': 4}
{'短评内容': '离高铁站可步行，就是有点吵，另外停车只能免费一次，总体感觉一般！', '短评打分': 3}
