{'短评内容': '好可以的吧', '短评打分': 5}
{'短评内容': '就是没早餐', '短评打分': 4}
{'短评内容': '很一般很一般', '短评打分': 3}
{'短评内容': '装修的很有家的感觉，房间很不错，尤其是卫生间很宽敞！床很舒服，虽然是低建筑，但这个价位非常划算。价格方面也较有优势', '短评打分': 5}
{'短评内容': '还可以，有点儿旧，房间有一点点味道但不影响居住', '短评打分': 4}
{'短评内容': '感觉十分不错，推荐入住', '短评打分': 5}
{'短评内容': '到这边经常住这家318，不错！', '短评打分': 4}
{'短评内容': '爸爸说房间挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间卫生还可以，酒店环境不错，位置比较方便', '短评打分': 4}
{'短评内容': '还可以 可以 可以 可以  可以', '短评打分': 3}
{'短评内容': '好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '很不错，环境可以。也很干净哦，价格适中', '短评打分': 5}
{'短评内容': '空间小，设备旧，价格贵。想换房的可一间比一间差。没办法只能将就着住一晚。心情极其不爽', '短评打分': 2}
{'短评内容': '非常不错的一家酒店,装修很特别,房间很舒适,值得推见', '短评打分': 3}
{'短评内容': '欧式装修，整洁卫生，阳台上还有鲜花，一见钟情！酒店大厅还免费提供自行车，下次还会入住！', '短评打分': 3}
{'短评内容': '房间欧式feel，个人蛮喜欢，挺干净的，就是临近汽车站有点吵，房间还有装修的味道，总挺不错！', '短评打分': 3}
