{'descr': '还可以还可以还可以。。。。。。', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '比较旧，也就是出差随便打发一晚', 'star': 3}
{'descr': '服务态度好、方便实惠', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '环境很好，很舒服～', 'star': 3}
{'descr': '很方便，离车站近。周围买东西的也蛮多的，下次来还会住这里', 'star': 5}
{'descr': '房间卫生配置都还不错，网速也快，就是小了点', 'star': 3}
{'descr': '以前经常来这里住。吃饭什么的还是挺方便的，离火车站也近。就是屋子看着有点旧了，但是用品什么的比别的酒店用的强，起码不会梳头疏到一半梳子就不能用了。', 'star': 5}
{'descr': '服务不差，房间干净，地段交通不方便，在哈尔滨这宾馆这价性价比一般，', 'star': 1}
{'descr': '房间太小了，交通不是太方便', 'star': 3}
{'descr': '宾馆很干净服务也热情', 'star': 3}
{'descr': '房间和电梯都小,舒适度还可以', 'star': 3}
{'descr': '比较安静，在安发桥汽车站一带算是比较便捷和上档次的宾馆了', 'star': 5}
{'descr': '交通方便，价格相宜。非常不错的商务酒店。', 'star': 5}
{'descr': '大冬天的没有暖气，不舒服\n餐厅的伙食也很差', 'star': 1}
{'descr': '离哈工大的侧门非常近，很方便。就是电梯太小了，大概能坐3，4个人', 'star': 5}
{'descr': '酒店的电梯太袖珍，两人进去都窄，地点交通方便，卫生还算过得去，服务尚可。房间墙壁该粉刷了。', 'star': 3}
{'descr': '房间虽小，但还算温馨。', 'star': 3}
{'descr': '服务不错，房间偏小。', 'star': 3}
{'descr': '交通方便，酒店为什很干净，服务很热情。晚上12点到店，房间也有.................................................', 'star': 5}
{'descr': '酒店感觉不错。', 'star': 3}
{'descr': '电梯真的很小！单人房洗手间很大，房间有点小！总体还不错！交通很方便，附近吃饭的地方很多，很方便！很适合没太多预算，又想住的舒服自在一点的人士！', 'star': 5}
{'descr': '住了感觉还不错的，离哈尔滨工业大学也还算近的，交通挺方便的，服务也蛮好的，也挺干净的，以后可能还会再去的。', 'star': 5}
{'descr': '格林豪泰酒店（哈尔滨工业大学店）除了房间挤了点，其他各方面的服务还是蛮好的，性价比还是很合理的，当然不能和高档酒店相比的了。特服务热情别是该店的陆海燕店长更是服务热情，能主动为客户着想，非常感谢她为我们所提供的帮助。', 'star': 5}
{'descr': '住那里的一天早上，电梯坏了，拎着行李从8楼走到一楼，本还想吃点东西，却没了兴趣。希望多花些银子弄台好的换上。', 'star': 5}
{'descr': '还可以，总体感觉位置还行，比较方便。价格还可以。', 'star': 5}
{'descr': '挺不错的！', 'star': 3}
{'descr': '位置不错，服务也很好，住了两天，但有一天无热水，幸好是夏天。', 'star': 5}
{'descr': '地点、服务环境都很好，还有免费的宽带速度很快的！', 'star': 5}
{'descr': '昨晚酒店没有热水，郁闷了一晚，服务员说：水泵坏了。没有做其他解释，也没有致歉！', 'star': 1}
{'descr': '位置还算方便。不过屋里的灯泡好几个不亮的，也没有小台灯。口杯和茶杯都细心的加了纸盖。浴巾有点糟了，不要用力，可能会扯个口子。。。', 'star': 5}
{'descr': '虽然有点小，但室内环境还不错，交通也方便', 'star': 5}
{'descr': '交通方便；服务热情。 电视有点小毛病。。。。。。。。。。。。。。', 'star': 5}
{'descr': '服务还不错。缺点是设施比较旧，电梯太小，隔音不好。', 'star': 5}
{'descr': '真的很差！到了酒店竟然跟我说只剩了一个空调不能用的房间了，房间设施陈旧，宽带不能用，插座插不进去，水龙头出水小，且是冷水。真是差！', 'star': 3}
{'descr': '挺让人失望的，比较破旧而且比较脏，洗澡水不是热水而是凉水。酒店服务人员比较差，一点都不热情', 'star': 1}
{'descr': '已从信用卡扣房费,为什么还要再交房费?', 'star': 3}
{'descr': '很理想，交通方便就不用说了。设施干净，服务很好。', 'star': 5}
{'descr': ' 謝謝 环境不错', 'star': 3}
{'descr': '服务很差！什么东西都要押金，连网线都要交20块押金才能用，而且网速太慢了！', 'star': 1}
{'descr': '我去前台时服务员态度很好 住宿条件也很干净 性价比是不错的 推荐', 'star': 5}
{'descr': '我去时前台服务员态度一般.室内还不错 浴室感觉很温暖.干净 温暖.就是墙上有裂纹 比较老吧 看起来有点脏.其他很好', 'star': 5}
{'descr': '挺好的.尤其是服务态度超好.也挺干净的', 'star': 3}
{'descr': ' 很满意！', 'star': 3}
{'descr': '比较难找。服务谈不上。房间里什么都没有。床剧硬。也许是世博期间，这样价格也就如此了、', 'star': 1}
