{'descr': '服务态度很好，里面干净卫生', 'star': 5}
{'descr': '感觉性价比很高', 'star': 5}
{'descr': '很好很好', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '环境很好 很不错', 'star': 5}
{'descr': '前台服务非常好，服务贴心周到。还会再来的。', 'star': 5}
{'descr': '干净舒适 服务良好', 'star': 5}
{'descr': '环境好！好好好！', 'star': 5}
{'descr': '不错不错，就是小了点。。。', 'star': 5}
{'descr': '不错 空间适中 采光一般', 'star': 5}
{'descr': '不错，干净，安静，淋浴器坏了马上来人给换了新的，非常好。', 'star': 5}
{'descr': '赞', 'star': 5}
{'descr': '很不错哦，房间整洁，位置也很方便，位于昌平比较中心的地方，交通很方便！', 'star': 5}
{'descr': '隔音不咋地，其他都好', 'star': 5}
{'descr': '酒店干净 隔音稍差', 'star': 5}
{'descr': '位置挺好找的，就是周边有点太热闹了', 'star': 5}
{'descr': '位置在昌平区政府对面一点 周围很方便 超市便利店都有～ 很方便', 'star': 4}
{'descr': '下水道反味儿，屋里都有味道了 淋浴水渗不下去，浴室地面都是水', 'star': 4}
{'descr': '房间很吵，换了一间也效果不大', 'star': 4}
{'descr': '地理位置便利，设施陈旧，服务和卫生有待提高', 'star': 3}
