{'短评内容': '被子很潮，很脏，卫生n年不打扫似的。', '短评打分': 1}
{'短评内容': '洗澡水不错', '短评打分': 5}
{'短评内容': '有停车地方', '短评打分': 5}
{'短评内容': '酒店一楼可以吃饭，价格还算便宜！房间内简陋，床铺和地板看起来都挺脏的，电视机都花屏幕的，有张床还是塌了，朋友都睡不舒服！老板很热情，会介绍旅游路线，和接送，服务挺好的！酒店房间的设施能再改善下就更好了', '短评打分': 4}
{'短评内容': '环境不错，住的也比较舒心，酒店服务人员很热情服务很到位，推荐入住。', '短评打分': 5}
{'短评内容': '老板娘人超级热情，亲自接送，出去玩还帮忙定了车，做的饭也很好吃，卫生条件也可以，总体来说还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '黄山脚下', '短评打分': 5}
{'短评内容': '黄山脚下', '短评打分': 5}
{'短评内容': '老板人超好！', '短评打分': 5}
{'短评内容': '好的无话可说，还特别便宜。支持', '短评打分': 5}
{'短评内容': '不错，非常满意！', '短评打分': 5}
{'短评内容': '都挺好的，不错，很满意！', '短评打分': 5}
{'短评内容': '感觉还行，就是下车以后找酒店有点麻烦，其他都不错', '短评打分': 4}
{'短评内容': '在山脚下，离大巴换乘站挺近，出门购物也算方便。', '短评打分': 3}
