{'短评内容': '很棒很棒很棒', '短评打分': 5}
{'短评内容': '有停车的地方，不是专门的停车场，位置好找，酒店房间较多，附近没有药房卫生所，突然有需要常用药品的不好应急。', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈回家', '短评打分': 5}
{'短评内容': '一般般，隔音效果没得说，躺床上听隔壁聊天', '短评打分': 3}
{'短评内容': '环境好，卫生放心', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '网速不是很好吧 其他还行', '短评打分': 5}
{'短评内容': '卫生好，空调制冷效果太好。', '短评打分': 5}
{'短评内容': '无线不好，有线端口有问题，工作人员到是很认真的维修了。早餐无人值守，没人及时收拾和补充食品', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '多次入住了，环境可以了', '短评打分': 5}
{'短评内容': '刚好从福州省彩印厂速8到这家速8，明显感觉这家差很多，下次不会再住', '短评打分': 4}
{'短评内容': '一般，这个价格也就这样啦', '短评打分': 3}
{'短评内容': '还不错，离工作地点近的唯一酒店', '短评打分': 3}
{'短评内容': '还不错，价格稍高', '短评打分': 4}
{'短评内容': '离工作地点较近，价格稍贵。', '短评打分': 4}
{'短评内容': '设施还好！！就是房间空气流通不好！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '整体不错 我将还会选择他 真是感觉是经济型中的星级酒店啊', '短评打分': 5}
{'短评内容': '房间比较舒适，设施新，干净。阅读灯光不足。比较满意。', '短评打分': 3}
{'短评内容': '酒店服务很差，到店时说查不到预定的订单，给的房间是天井窗的，但是价格是178，我预定是188的，加了10块换了窗子大一点的房间。管理很乱', '短评打分': 1}
