{'短评内容': '停车场不大，经常停不下。', '短评打分': 5}
{'短评内容': '感觉很温馨，细节做的不错，还拍一张门锁发了朋友圈，哈哈，很多人回复，都是因为这个锁，太接地气儿了！浴室超级大的一个公共区！还可以泡澡！庭院的多肉更是美美哒！', '短评打分': 5}
{'短评内容': '环境和地理位置都超棒，前台小哥很热情，纳西阿姨厨艺超好，强烈推荐！', '短评打分': 5}
{'短评内容': '环境还是不错的', '短评打分': 5}
{'短评内容': '从大理到双廊到丽江到束河，这是本次云南之行最最大的惊喜！客栈在在处处是禅意，佛曲幽幽肆意流淌，让人满心欢喜，不舍离去，不舍离去，不舍离去！真离去了，下次还来。', '短评打分': 5}
{'短评内容': '带着老人孩子入住的，客栈在束河古城中心，但大隐于市，是闹中取静的位置，周边吃饭闲逛都很方便，赞。客栈的设计很有巧思，植物的配搭很有品味的一家客栈！特别喜欢，推荐指数5星！', '短评打分': 5}
{'短评内容': '旺中带静，环境幽雅，房间整结，还插上鲜花，最好是能加些温馨提示，好让客人们知道客栈里会有什么节目安排！', '短评打分': 5}
{'短评内容': '束河古镇中很私密的一间酒店，位置在古镇的中心，出门可以吃饭逛街非常方便。酒店的接送很棒，虽然只是一辆电动三轮车帮我们拉行李（人坐不了），服务员很尽责地帮我们提行李。一家三口入住，还免费加床。', '短评打分': 5}
{'短评内容': '很有味道的古宅，在小巷内，很安静。工作人员很热情，帮忙搬行李，订车，给我们指路。还有，酒店早餐的米线很美味，都是阿姨一早买的新鲜蔬菜回来做的。', '短评打分': 5}
{'短评内容': '环境服务一级棒，很安静，睡的非常香。但是要曝光附近黑店恶劣的老板！早上出客栈在巷口“丽水金都餐吧”吃早餐，做攻略说鸡豆凉粉是特色，就点了一份，付钱时候多了十块钱，问老板，他说前面问我要热的还是凉的，我要了热的，所以多10块，我说你没有跟我说啊，他说单子上的煎凉粉就是，我说那你不说我们怎么知道。他开始骂人，说：我干嘛要说，是你们眼瞎……后面还指着我妈说，不要啰嗦，不看你是女人我就打你了。还骂了很难听', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '客栈位置不错，闹中取静，老板很用心的布置，院子、房间的每一个细节都做得不错，感觉很舒服很放松。服务也不错，可以帮忙联系到很多地方的车子。住的是相濡以沫房间，卫生间设施应该更新或者修缮一下了，洗澡水不算大。', '短评打分': 5}
{'短评内容': '环境和服务都很好，值得下次再去。', '短评打分': 5}
{'短评内容': '各方面都很不错的客栈，值得一住', '短评打分': 4}
{'短评内容': 'Everything here was great (except maybe the breakfast). It was very relaxing and the staff was really helpful.', '短评打分': 5}
