{'descr': '好，房间大，周边安静，是理想的居住酒店', 'star': 5}
{'descr': '酒店不提供早餐', 'star': 3}
{'descr': '酒店不提供早餐，有收费停车场，有家庭房，位置一般般，周边有一个广场，但是貌似没什么人气，性价比一般。', 'star': 3}
{'descr': '有停车场，不错！', 'star': 5}
{'descr': '性交比可以', 'star': 4}
{'descr': '环境一般，主要是出行方便，旁边就是高速，周边有老牌苏州面点', 'star': 4}
{'descr': '设备和房间都不错，比连锁快捷酒店好', 'star': 5}
{'descr': '房间很大，地点不好', 'star': 5}
{'descr': '很不错，性能价格比高', 'star': 5}
{'descr': '酒店中规中矩，房间还算干净。床也挺舒服。', 'star': 4}
{'descr': '酒店中规中矩，房间还算干净。床也挺舒服。', 'star': 4}
{'descr': '酒店空间挺大，宽敞，交通也方便，总体还不错', 'star': 4}
{'descr': '交通方便，旁边就是地铁，房间也大，除了不是知名连锁。', 'star': 5}
{'descr': '环境不错', 'star': 4}
{'descr': '好', 'star': 4}
{'descr': '虽然位置有些偏，但楼下就是地铁站，出入也算方便，酒店挺干净的，服务态度也不错，可以', 'star': 4}
{'descr': '位置还不错，酒店是刚开的，就是价格有点高了，如果能低一点下次还会入住', 'star': 5}
{'descr': '不错，较安静，也比较清爽，就是没有早餐，整体性价比还行', 'star': 5}
{'descr': '酒店对面就是桐泾公园，离盘门景区也不远。酒店是公寓房改造的，房间很大。就是楼下在修地铁，门口有点乱，总体上说是一次愉快之旅。', 'star': 5}
{'descr': '周边环境一般，房间很大，视野很好，人性化服务稍微少了点。', 'star': 5}
{'descr': '  整体一般。。服务态度不好。。周围吃东西也不方便。。', 'star': 3}
{'descr': '不错，就是附近吃饭不是很方便，环境有点偏。', 'star': 5}
{'descr': '没有额外付钱吃饭的地方\n洗澡时热水很快就没了。加热等待时间太长。冬天不太适合住，两人不适合，边洗澡边看数显温度\n房间的方便面是过期的\n矿泉水也是要收费的。', 'star': 1}
{'descr': '没有额外付钱吃饭的地方\n洗澡时热水很快就没了。加热等待时间太长。\n房间的方便面是过期的\n矿泉水也是要收费的。', 'star': 1}
{'descr': '态度一般，服务一般，说是网上预订不给开发票！！', 'star': 1}
{'descr': '隔音差，整体说还不错，希望继续改善居住环境。 ', 'star': 5}
{'descr': '这家的位置还不错，隔壁就是筋头巴脑火锅，老板、服务员都很好，东西也很实惠、味道也不错。但是，这家酒店就可真不怎么样了，隔音效果差，一晚上就听隔壁房间的激情现场直播了，如身临其境……除此之外，别的还勉强可以接受。\n总之，愿意去听床头直播的，是个不错的选择。', 'star': 1}
{'descr': '环境不错 价钱合理 地点也可以', 'star': 3}
{'descr': '位置比较偏，房间挺干净，押金一天一交，服务态度不怎么样', 'star': 1}
{'descr': '环境很好…', 'star': 3}
{'descr': '酒店感觉一般吧，不过性价比还算合适，房间感觉不是很干净但是也可以接受', 'star': 1}
{'descr': '房间很小，有点潮潮的感觉和味道，不过把空调打开就好了，设施还不错，隔音太差了。性价比还可以吧', 'star': 5}
{'descr': '不错的宾馆，就是门缝有点大，洗浴间下水的速度慢。', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '酒店有的房间隔音太差，前几回挺好的，这回被隔壁一男一女吵了一夜，没睡好。', 'star': 3}
{'descr': '酒店不错，比较干净！南面的房间比较安静！', 'star': 5}
{'descr': '这次住的四楼，很不隔音。\n电视信号不是很好，没有看到《非诚勿扰》。', 'star': 5}
{'descr': '旅店挺干净  服务也好  设施齐全，以后还会选择这家旅馆', 'star': 5}
