{'短评内容': '都可以', '短评打分': 5}
{'短评内容': '环境不错，隔音效果好，下次还会再来！', '短评打分': 5}
{'短评内容': '这套房居然只有一个洗手间。还是建议大家考虑清楚再订。不是所有四个人的套房都有两个卫生间的，必须了解清楚。否则后悔不已。', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '住的很舒服，服务也好，推荐', '短评打分': 5}
{'短评内容': '朋友说还不错', '短评打分': 4}
{'短评内容': '当地没什么酒店，一般般', '短评打分': 3}
{'短评内容': '酒店还行吧，离汽车站也不远，价格也合适，大床房比双人房还要大很多，对着公路，晚上比双床房吵一些，但是视野好很多', '短评打分': 4}
{'短评内容': '挺满意的一次住宿。', '短评打分': 5}
{'短评内容': '噪音很大 卫生欠佳', '短评打分': 2}
{'短评内容': '近公路，噪音大。设施一般，早餐还不错。', '短评打分': 4}
{'短评内容': '挺安静', '短评打分': 3}
{'短评内容': '我现在去上班吧？牛 拿来了吗，牛的啦我的事的事的事的事的事的事的事的事的事的事的事的事的事', '短评打分': 3}
{'短评内容': '酒店就在高速口附近，作为旅途的中途站很合适。', '短评打分': 4}
{'短评内容': '不错的，早餐很丰盛！', '短评打分': 3}
