{'短评内容': '还可以，有点贵', '短评打分': 4}
{'短评内容': '酒店设施设备可以，价廉物美。', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一般出差，新县城，离市区远', '短评打分': 4}
{'短评内容': '前台服务差，门锁也坏了，卫生间都是水，让前台送个充电器用用，提醒了3次也没送，前台就像傻子一样，早餐很差，', '短评打分': 2}
{'短评内容': '前台办事效率低，每次来开房都有这样那样的失误，跟他们说了一件事总是忘掉，别提什么服务了，差劲，早餐极差，', '短评打分': 2}
{'短评内容': '真的很差劲，前台笨的跟猪似的，开个房开半个小时，门也是坏的，电话没说完就挂掉，一天比一天差劲，以后不开住了，再也不来了，早餐难吃的不能再难吃了', '短评打分': 2}
{'短评内容': '前台态度不错，房间也很符合房价。以后还会再来', '短评打分': 5}
{'短评内容': '在当地算是不错的选择。', '短评打分': 4}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '还不错，就是返现不知道如何操作', '短评打分': 5}
{'短评内容': '还行吧 矿泉水不是送的吗怎么还收费 马桶不好用', '短评打分': 4}
{'短评内容': '环境不错，设施也挺好，就是房间没有配备吹风机，要找前台要', '短评打分': 5}
