{'短评内容': '去古玩市场的比较合适住', '短评打分': 4}
{'短评内容': '无线上网有点不稳，其他设施都挺好', '短评打分': 5}
{'短评内容': '隔音超级差差差。4点开始就外面各种吵。 没法睡觉！不建议去住，还有前台男服务员。服务特差。 ', '短评打分': 2}
{'短评内容': '环境差，离火车站超远，设备陈旧，周边交通不便，饮食不便，破破烂烂的，入住慢，酒店卫生不好。没有吹风筒！！！！史上最差的一次入住！', '短评打分': 2}
{'短评内容': '周边环境特吵', '短评打分': 3}
{'短评内容': '服务，卫生，环境好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第三次入住了，除了周围环境，各方面都不错，价格实惠，卫生和设施还都很好，服务更是不厌其烦，值得推荐。', '短评打分': 4}
{'短评内容': '一般。周边环境较差，就离古玩市场较近。', '短评打分': 3}
{'短评内容': '还不错，就是交通不是太方便', '短评打分': 3}
{'短评内容': '總體評價一般般，衛生與設施尚可，價位不高，附近有古玩市場', '短评打分': 2}
{'短评内容': '酒店周边环境太差，总体住房环境还可以。', '短评打分': 4}
{'短评内容': '店里价格比网站还便宜30，下次直接过去订', '短评打分': 5}
{'短评内容': '房间有点气味，对面就是古玩市场。', '短评打分': 3}
{'短评内容': '位置有点偏，但是比较安静，离市区打车比较方便', '短评打分': 3}
