{'短评内容': '正好五个字', '短评打分': 5}
{'短评内容': '如果你对酒店有要求，就千万别住这家。也就值个80块吧', '短评打分': 3}
{'短评内容': '一般般吧。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个价格差不多了一般', '短评打分': 3}
{'短评内容': '差评！！！！名字还带个豪华？面积小不说，窗户浴室都是坏的。网络卡到电视都看不了！服务也是，办理入住退房的时候慢得不行！临时可以凑合，不推荐！！！', '短评打分': 1}
{'短评内容': '还不错，在医院边上，交通也很方便', '短评打分': 5}
{'短评内容': '环境还好，厕所有点挤热水等了很久才来', '短评打分': 4}
{'短评内容': '房间比较小，不过很干净。性价比一般。', '短评打分': 3}
{'短评内容': '还行吧！！！！！！！！', '短评打分': 3}
{'短评内容': '隔音太差，根本睡不着', '短评打分': 3}
{'短评内容': '不怎么干净', '短评打分': 3}
