{'短评内容': '房间不给打扫，续住不给牙刷等，没有一次性拖鞋，反正不满意', '短评打分': 1}
{'短评内容': '周围环境差，服务员态度差', '短评打分': 1}
{'短评内容': '酒店位置好、出行方便、干净卫生。', '短评打分': 5}
{'短评内容': '史上住过的最差酒店，烂人烂地方！', '短评打分': 1}
{'短评内容': '这房间也太恐怖了，满屋子都很脏床单上还有脏东西，一股尿骚味，恶心的我都吐了，周边也很乱，老板也太抠门了，屋子里的灯暗的要死也不说安个亮点的，而且灯还很脏，简直就是脏乱差', '短评打分': 1}
{'短评内容': '环境一般，卫生给个差评，一点都不好', '短评打分': 5}
{'短评内容': '第一次住这要个，太失望了，环境太恶心了，还不如30元的民房。', '短评打分': 1}
{'短评内容': '这个酒店挺隐蔽的，找了半天才找到，说是有wife但就是不能用，上不了网，和前台说了几次没用，他们就说在修，住了两天了还是那样，前台服务态度一般，到店只能付现金不能刷卡，网上全是现付，谁出来旅游带那么多现金。房间一般，床头上面的一块板子都是坏的！电视机还是带有大屁股的，也只有几个台能看，晚上蚊子蛮多的，卫生间门是坏的，进出口的门没有反锁设置。续住的第二天我要求打扫一下，后来我回来发现只给我到了一下垃', '短评打分': 1}
{'短评内容': '价格还不错，条件还可以，算是个性价比不错吧', '短评打分': 4}
{'短评内容': '还不错，就是有蚊子', '短评打分': 3}
{'短评内容': '酒店房间很多，环境也还不错，住的大床房，总体来说住的还算满意。', '短评打分': 5}
{'短评内容': '哎 比较郁闷的一次入住，前台态度真叫一个无语，酒店条件还行。酒店位置还好，在南门附近', '短评打分': 3}
{'短评内容': '蚊子很多，酒店很旧，不舒服', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '酒店环境不错，卫生挺好，服务也到位，找酒店具体位置需花点心思。', '短评打分': 5}
{'短评内容': '环境还不错，在居民住宅区，离各大景点也不算远，就是服务有待提高，办理登记和结账速度有点慢，另外，室内所用拖鞋是常用的，这个不好，个人心里有阴影，应该用一次性的，这样用起来心里比较踏实。', '短评打分': 5}
{'短评内容': ' 环境设施还不错，也挺安静的。下次还会入住的。', '短评打分': 5}
