{'短评内容': '约啪啪啪的，就那样吧', '短评打分': 3}
{'短评内容': '蛮好的各种', '短评打分': 4}
{'短评内容': '很好玩的酒店', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好。', '短评打分': 5}
{'短评内容': '帮朋友订的，房间应该是阳台打开装修的，楼上的防水没做好，有雨水的水渍！酒店有意往精品酒店方向装饰，但4⃣️细节差很多！电视机下面线乱乱的露出来，影响美感！不推荐！', '短评打分': 4}
{'短评内容': '厕所漏水，房间脏，热水供应慢', '短评打分': 2}
{'短评内容': '好好哦', '短评打分': 5}
{'短评内容': '卫生间的洗漱用品一般，房间的布局有些拥挤；。服务好，隔音效果非常差，整个晚上一直听到 隔壁房打呼噜的声音，而且楼层偏低', '短评打分': 4}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '房间一股霉味，门口就是高架。晚上睡觉很吵，房间很小。被携程坑了，满300减100。结果就这样～', '短评打分': 2}
{'短评内容': '热水器一会儿热一会儿冷，凑合着洗完澡，吹风也是坏的', '短评打分': 4}
{'短评内容': '酒店位置不错，性价比还可以。', '短评打分': 5}
{'短评内容': '有情调，', '短评打分': 4}
{'短评内容': '很不错酒店很好，卫生很好设施很好，就是外面修地铁很吵', '短评打分': 5}
{'短评内容': '装修不错，旧了店，部分设施坏了没修', '短评打分': 4}
{'短评内容': '装修比较有特点，周边衣食住行一应俱全，服务也可以，唯一就是软件差点', '短评打分': 3}
{'短评内容': '房间很漂亮 但规模不大 在市中心 周围很多k房 但是没找到小吃街 可能不认识路吧 而且早上退房后没找到早餐店 是吃kfc早餐解决的 总的来说 我觉得去厦门住在曾厝垵比较好', '短评打分': 5}
{'短评内容': '还算干净', '短评打分': 3}
{'短评内容': '订的是金色埃及和速度激情，很有特色的一家酒店，由于行程有变，只住了一晚，蛮开心的，服务态度超好，只是价格稍微贵了一点，没办法，旅游旺季嘛！', '短评打分': 5}
{'短评内容': '几小時前剛到酒店!第一感覺就是服務非常熱情我們到了酒店門口找不到車位打電話給前台就有一工作人員來外面迎接我們這位帥哥很熱情還主動幫我們拿行李!然後來到酒店大堂第一感覺就覺得很小就有種小旅社的感覺因為沒有所謂的大堂和氣派的大招牌!幫我們登記的美女也很熱情還主動告訴我們如果房間小就換一個大的給我們（我定的是急速激情房)登記完我們就進了房間!當進到房間第一感覺就是挺有特色但房間有點下水道的味道可能因為沒', '短评打分': 5}
{'短评内容': '住住还是可以的·服务员态度很好，很有效率·', '短评打分': 5}
{'短评内容': '酒店装修很有特色~~就是客房空间有些小~~周围商场比较多~~但是如果是旅游其实不太推荐住，这里体现不出来厦门独特的风情~~~不过就酒店本身而言挺好的~~', '短评打分': 5}
{'短评内容': '挺不错的~就是房间小了点，价钱有点小贵~', '短评打分': 5}
{'短评内容': '整个酒店还是很有特色的，又各种不同风格的装修，而且交通便利，配套设施齐全，走路10分钟就到了SM广场，下次去厦门还会住这，唯一不足的，我有一点洁癖，不太放心外面的浴缸，我叫服务员再洗一遍浴缸，他却把东西给我让我自己洗，热水也不是特别热', '短评打分': 5}
{'短评内容': '不懂厦门的市中心到底在哪里，不过这家店离轮渡，厦大还是蛮远的。房间还好，小是小了点。床垫底下的围布应该及时清洗，泥巴印，什么都有。不过服务态度还是好的。', '短评打分': 5}
{'短评内容': ' 很不错的房间，四楼阳台风景特别好！桑拿房间光浴室就差不多20平米，住了这么多酒店绝对算大的！强烈推荐，下次还来！', '短评打分': 3}
{'短评内容': '房间面积太小，非常不方便。不过服务态度还是非常好的。', '短评打分': 1}
{'短评内容': '房間太小，服務品質太一般，適合情侶去度假，但是商務客人真不太適合', '短评打分': 1}
{'短评内容': '服务很好 环境很棒 三晚住了三个主题房 很有特色！', '短评打分': 5}
{'短评内容': '房间偏小，酒店位置不太好找。房间装潢略花心思，如果价位在200左右，是不错选择。如果在400以上，厦门四星以上酒店选择很多。', '短评打分': 1}
{'短评内容': '刚刚点错了，酒店地理位置个方面都不错，吃饭也很方便！', '短评打分': 5}
{'短评内容': '很好！很好！环境很不错\n很喜欢！地点也不错', '短评打分': 1}
