{'短评内容': '太老了。该从新装修一下了。', '短评打分': 3}
{'短评内容': '环境噪音大', '短评打分': 4}
{'短评内容': '早餐很好啊！酒店位置也不错，在主干道路上，出行很方便。酒店提供免费停车位，这样对自驾出游的非常方便。', '短评打分': 5}
{'短评内容': '早餐还可以算是一般', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '可以，房间整洁安静，交通方便', '短评打分': 5}
{'短评内容': '饭店价格便宜就是太陈旧了一点，嗯，街道买东西都很方便。', '短评打分': 5}
{'短评内容': '在一起吧八点四十了吧、一个人是因为自己是一生中最美好', '短评打分': 3}
{'短评内容': 'long time ago ', '短评打分': 4}
{'短评内容': '时间太长忘记了，应该都还可以', '短评打分': 4}
{'短评内容': '设备陈旧，早餐差。网上预定竟然比到店还贵', '短评打分': 3}
{'短评内容': '网上价格竟然比饭店价格还贵！设施老旧，早餐差', '短评打分': 2}
{'短评内容': ' 位置不错，步行就可以到湖边。', '短评打分': 3}
{'短评内容': '服务很好，很安静，下次还会再去。性价比很高。', '短评打分': 5}
{'短评内容': '房间干净，设施很好，住得很舒服，值得推荐', '短评打分': 5}
{'短评内容': '还可以，就是6点左后开始有点吵闹了，南方气温高，我想开空调，他只有通风，不可以制冷，有待改进', '短评打分': 5}
{'短评内容': '酒店装修过，房间的设施感觉很温馨的，早点简单了点。酒店前台的服务员很热情，早点的服务人员像个老爷一样。', '短评打分': 5}
{'短评内容': '不错，除了早餐差点', '短评打分': 3}
{'短评内容': '酒店有点小,有噪音.性价比适中.一般出差还可以接受.', '短评打分': 5}
{'短评内容': '住过好几次了，各方面都还可以，关键临湖，饭后湖边漫步，实乃人生一乐。\n可惜这次去时发现酒店外面的一家小吃不见了，他家的蒸饺不错的。\n房间了发现一张免费理发券，结果还是收了我10块钱，上当了。', '短评打分': 5}
{'短评内容': '不错的酒店。性价比还算蛮高的。地理位置很好，晚上很安静，房间干净、服务不错，就是早餐一般了点。', '短评打分': 5}
{'短评内容': '环境挺好的，房间挺干净。但是早餐是在太差。全都是冷得。油条是凉的。牛奶是凉的。蒸饺是凉的。一切都是凉的。小米粥熬得很难喝，还没小米那种。种类也不够丰富。总之早餐很令我失望。', '短评打分': 5}
{'短评内容': '老牌的四星酒店，好像重新装修过，很干净，交通也很方便，价格算合理了，虽然在闹市区，但晚上很安静，总体很不错。下次出差还会住！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错，房间满大的，虽然比较旧了，也比较干净，地理位置很方便，酒店配套也比较全，早餐比较简单，下次还会入住。', '短评打分': 5}
{'短评内容': '房子感觉旧了点。有潮气，需要通风。', '短评打分': 3}
{'短评内容': '好1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店还是不错的 入门还送水果 很体贴 酒店的位置也不错', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '酒店整体不错，但早餐不是特别理想．交通便利．', '短评打分': 5}
{'短评内容': '就当地而言还不错，房间有点小．希望能进一步提高！', '短评打分': 5}
{'短评内容': '在马鞍山地区也算是不错的酒店，出行比较方便．价格如果再优惠点更好．', '短评打分': 5}
{'短评内容': '交通还是比较便利的,酒店总体不错,但有些小细节有待改善!', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通方便， 比较安静，值得入住', '短评打分': 5}
{'短评内容': '不错，不是第一次住。美中不足的是不能刷外卡。', '短评打分': 5}
{'短评内容': ' 挺好的', '短评打分': 3}
{'短评内容': '蛮好？但价格稍贵？早餐过于简单。卫生间不宜用感应灯，以防老年人摔倒。', '短评打分': 5}
{'短评内容': '第二次入住，除了早餐粗糙点，其他都还可以。值得一住，起码在马鞍山值得。', '短评打分': 5}
{'短评内容': '性价比比较低，星级很不真实，房间比较小，设施一般。周围超市还是有点远。', '短评打分': 1}
{'短评内容': '房间装修风格不错，很温馨。细节部分考虑比较周到。房间面积稍微小了点。', '短评打分': 5}
{'短评内容': '酒店环境不更，很适合情侣居住，房间内有免费的电话可以给出差在外的人和家里报平安！', '短评打分': 5}
{'短评内容': '房间的卫生还说的过去但是酒店设施老了些，硬件上面也是没有达到四星标准，位置还好，价格还是很贵。', '短评打分': 1}
{'短评内容': '服务挺热情的，感觉很好，房间挺干净，设施质量很好，床上用品也挺高档，用着很舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，卫生间设计的也挺别致，打扫也很干净，通风采光也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店位于市中心，周边交通挺便利。服务卫生方面也挺不错的。', '短评打分': 5}
{'短评内容': '酒店规模不是很大，但装修的挺好，服务人员态度很好，卫生打扫也不错，总体感觉挺舒适。', '短评打分': 5}
{'短评内容': '房间挺干净，设施挺齐全，卫生间的设施质量挺好挺高档，服务也不错，早餐种类也挺多。', '短评打分': 5}
{'短评内容': '环境很好，很干净很舒适，服务也挺周到，电视空调等设施都有，住起来相当舒适。', '短评打分': 5}
{'短评内容': '酒店装修的挺高档的，各方面都很好，性价比很高。', '短评打分': 5}
{'短评内容': '酒店比较差，比一般的连锁酒店要差一些，房间很小，很暗。床也不好。', '短评打分': 1}
{'短评内容': '酒店还不错，出行挺方便，环境挺干净，床挺软和挺舒适，设施也挺齐全的。', '短评打分': 5}
{'短评内容': '卫生方面很好，从地面都床上，收拾的都很干净，卫生间也很干净，这点做得很好。', '短评打分': 5}
{'短评内容': '服务很热情，也很周到，房间干净整洁，落地式大窗户，采光很好，设施也挺完善，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店很新很干净，里面的设施非常现代化，还提供了电脑，下次还会选这家', '短评打分': 5}
{'短评内容': '酒店还是一般感觉不是很好，价格也不便宜设施也很陈旧应该算是我住的酒店里面比较差 的了，位置倒是在市中心但是酒店内部环境挺差的，性价比也挺低的。反正', '短评打分': 1}
{'短评内容': '我是从今年5月份入住田园饭店的，住过后就不再换过，已入住多次。这里交通方便，房间卫生，服务质量也很好，价格不算贵。总之，以后来马鞍山还会住田园！', '短评打分': 5}
{'短评内容': '比想象中的小多了，好像只有一部客梯。客房比较干净，早餐凑合，去晚了没什么吃的了。', '短评打分': 5}
