{'短评内容': '上樓環境很好', '短评打分': 5}
{'短评内容': '上樓環境很好', '短评打分': 5}
{'短评内容': '在香港这个寸土寸金的地方找到这么一个实惠的酒店实属罕见，一间双人套房600多人民币一晚，前台有免费的碳酸饮料和糖果。从南昌地铁站D号出口走路700多米将近7，8分钟的路程。不过香港市区的马路比较狭小，酒店位置比较难找，需要细心寻找', '短评打分': 5}
{'短评内容': '酒店位置交通很方便 房间设计紧凑 很干净 设施较新', '短评打分': 5}
{'短评内容': '酒店周末价能拿到600的价格 性价比算不错了 我们选了高层 住1203 双床 每张床1米宽 每间房都有拉门 私密性设计的很好 这种公寓基本都是自助的 虽楼下正建工程 但房间噪音不大 房间挺干净 走5分钟就到桂林街美食街 还算方便的 大堂在1楼 办理chen in G楼要按接待处才能上去 下次还有500多的周末价 还会选这里 主要探望亲戚方便 ', '短评打分': 4}
{'短评内容': '差差差，可以下单又给我说订不了，订不了就算了，白条免息卷还不退！？', '短评打分': 1}
{'短评内容': '房间不太大，但很干净，位置比较偏僻，但离地铁还是比较近的，唯一遗憾的就是取消了迷你吧免费政策，看酒店详情选的这家，结果取消了免费的零食和饮料', '短评打分': 5}
{'短评内容': '还会再来', '短评打分': 5}
{'短评内容': '这个价钱，这个环境，真的非常不配咯！！本来想就近明天去探亲的，看评论，看图片还觉得可以，有几十平方在香港算不错了，但真的有些托的感觉，落下是非常复杂有很多流浪汉，但还好警察也会经常特意走这里，酒店的设施也很一般，又小又有一点旧，但胜在服务人员的礼貌对待也可以，也不会太懒散，但真的不是很建议家庭出外住这。', '短评打分': 4}
{'短评内容': '这家酒店干净，主要是住着很舒适', '短评打分': 5}
{'短评内容': '非常好的酒店，经济实惠，已经住过好多次了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店深藏在深水埗，香港老旧区域，酒店设施和服务不错，基本是老外入住，全家出游的居多，离地铁深水埗站约8分钟路程，距西九龙商业中心也很近，为性价比点赞。', '短评打分': 5}
{'短评内容': '房間便宜，空間不小，位置也不錯，而且房間裡有簡單小廚房，不過沒有煮食爐，只能切點東西什麼的。而且不太乾淨，包括餐具什麼的。而且IPHONE充電器都壞了。不推薦！  ', '短评打分': 3}
{'短评内容': '周边有两条线的地铁口，去迪斯尼和尖沙咀都方便，旁边还有一家米其林一星的添好运餐厅。', '短评打分': 4}
{'短评内容': 'good', '短评打分': 5}
