{'短评内容': '不错，一直用京东旅行', '短评打分': 5}
{'短评内容': '干净，服务好，满意', '短评打分': 5}
{'短评内容': '住的高级双人间，住九楼，好像是加盖的，因为坐到八楼得再走一层。房型有点奇怪，外面一个大间，里面是卧室，还是第一次住这种。空调制热有点慢。因为靠路边，有点吵。卫生打扫的比较及时。优点就是交通还算便捷，加上成都有小黄车，很方便。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '早餐没有！不知道能不能加床！不适合带太小的孩子！因为房间隔音差！孩子太小会打扰隔壁客人！位置不好！在南湖附近不好出也不好进！当然如果你在湖北工业大学学习....住这10分钟步行到！酒店在小区里面！看到可以停车但不知怎么收费！唯一好处是服务员态度非常好……', '短评打分': 3}
{'短评内容': '位置佳', '短评打分': 5}
{'短评内容': '交通便利~车站地铁站都在旁边~很好。', '短评打分': 5}
{'短评内容': '服务态度好，周边环境方便', '短评打分': 5}
{'短评内容': '这家酒店性价比超级高的啊！卫生好，环境好，位置也很不错，交通便利，以后出行还会选择的，比如家好哎，赞一个！', '短评打分': 5}
{'短评内容': '离地铁近，周围吃得多，三人间挺大的，很舒服，就是登记时前台帅哥说没房源了，我说我前天订的房已确认，你必须帮我解决，然后给了个三人间，所以心里不感觉不好。', '短评打分': 5}
{'短评内容': '总的来说还不错', '短评打分': 4}
{'短评内容': '天府广场旁，宽窄巷子边，早上逛公园，晚上涮火锅，巴适的很！', '短评打分': 5}
{'短评内容': '延住了一天，很满意', '短评打分': 5}
{'短评内容': '位置一流，地处中心，步行去各个地方都超级方便，地铁也近，早上还能去人民公园感受当地人的生活，周围好吃的也多。酒店工作人员服务亲切，环境干净安全设施齐全，晚上能听到地铁声，不过影响不大，喜欢成都以后再来一定还会选择这里住。', '短评打分': 5}
{'短评内容': '环境不错  特别是戴眼镜的那个美女服务特别好  ??给你点赞哦  嘿嘿', '短评打分': 5}
{'短评内容': '地理位置不错，出行比较方便，离宽窄巷子、锦里、地铁站都比较近。大堂还有一些去各大景点、机场的指示小卡片，这个很赞喔。', '短评打分': 3}
{'短评内容': '基本满足家庭需要，我觉得这次住的几个酒店汉庭是性价比最高的', '短评打分': 5}
{'短评内容': '地理位置很好。', '短评打分': 5}
{'短评内容': '现已经入住服务很好房间也干净', '短评打分': 3}
{'短评内容': '感觉很好。很干净', '短评打分': 3}
{'短评内容': '房间很干净、比较大，舒适，服务态度不错，推荐', '短评打分': 5}
{'短评内容': '房间很干净，距离人民公园很近', '短评打分': 3}
{'短评内容': '环境很好，周边就是人民公园，很热闹，周边还有廖老妈蹄花，也是成都很好吃的，不错不错', '短评打分': 5}
{'短评内容': '这次入住发现一楼还有免费的自助饮料喝，有点小意外，试了试，还不错。', '短评打分': 5}
{'短评内容': '房价干净卫生，网速快，电视节目也不错。各方面都很不错。只是楼下在施工，有点吵，其他都很不错！', '短评打分': 5}
{'短评内容': '住的是周日百元房 自然性价比超高啊 位置也非常好 前台服务延续了汉庭一如既往的优质   ', '短评打分': 5}
{'短评内容': '感觉真不错，比原来想象的好，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '我推荐的是100特价房，对于出差的人来说，只是住一晚上，价格很便宜。', '短评打分': 5}
{'短评内容': ' 已经入住，这个价格确实值了，进门一张镜子，吓死我了', '短评打分': 3}
{'短评内容': '在成都定的周末百元房，出乎我的意料，房间比一般快捷酒店的房间要大。虽然是在顶层9楼，窗户小，但一点不影响，是和女朋友去成都旅游，女朋友说这是最便宜的住宿最好的设施。卫生间很大，很干净。配套设施完善，还有附赠的潘婷洗发水和宝洁沐浴露。电视节目清晰。交通方便，距离宽窄巷子很近。周边有重庆火锅留一手，味道很好。距离天府广场很近。值得你去享受的！（俺可不是托，另外俺挺挑剔）', '短评打分': 5}
{'短评内容': '对面就是如家，可是这家店的价格比如家贵，还不如选如家了，并且如果开车的话，要开到很前面才能掉头', '短评打分': 1}
{'短评内容': '百元房性价比很高，已经多次入住，干净卫生', '短评打分': 5}
{'短评内容': '    地理位置不错，离人民公园的鹤鸣茶馆，宽窄巷子，天府广场都不远，地理位置优越。房间较马路对过的如家和周边的格林豪泰都大，总体不错，值得推荐。', '短评打分': 5}
{'短评内容': '总体感觉较好，房间比较新。', '短评打分': 3}
{'短评内容': '100元的特价房说没有了，给换成高级大床房了，相当舒适，楼下还可以免费使用电脑一小时，回来后就想着加入汉庭了', '短评打分': 5}
{'短评内容': '很干净~地理位置很好~出行很方便~离天府广场就5分钟路程，宽窄巷也10-15分钟路程~武侯祠锦里就公交4站~值得推荐！', '短评打分': 5}
{'短评内容': '酒店很干净很温馨，但有一点让我很郁闷，女朋友的一个小镜子落在枕头下面了，后来打电话问，收拾房间的说没有看到，真是奇怪了，不翼而飞了！', '短评打分': 1}
{'短评内容': '酒店外观给人的感觉一般，进去入住服务还不错，房间也挺干净的，正市中心，去每个景点都比较方便。所以去完九寨沟后返回又住了两天，旅游期间行李寄存服务也很不错，免费的。', '短评打分': 5}
{'短评内容': 'the customer service is ok, the room is too small, comparing with the price, it is not recommended.', '短评打分': 1}
{'短评内容': '交通很方便，房间也不错，我入住的周日百元房，性价比很高，不过如果平时入住的话感觉价格还是蛮贵的', '短评打分': 5}
{'短评内容': '这是本次旅游行程中最靠谱的酒店。100块特价房，超值，配置优于如家的188块标准。各种细节都安排比较到位，比如两个杯子颜色不同、毛巾颜色不同，房间也很整洁。窗口有广告牌挡着，但如果不需要欣赏窗外风景，跟不挡也没啥区别。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地处位置出行比较方便 就是沿街的房间有些吵 ', '短评打分': 5}
{'短评内容': '订的高级家庭房，跟普通家庭房差不多，只是有张床稍大些而已。卫生间的门是玻璃的，不能锁，不太适合孩子已成年的一家人。服务还可以，不过最后一天的浴巾不洁净', '短评打分': 5}
{'短评内容': '只是用来晚上睡个觉，这个酒店还是可以凑合的，谁叫咱们贪便宜呢。这就是经济型酒店的特点。\n\n唯一有意见的是酒店不提供WiFi服务，略显小气。有线都提供了，加个Wifi花不了几个钱，却能满足Ipad和iphone的需求，建议酒店考虑。', '短评打分': 5}
{'短评内容': '就在人民公园旁边，交通方便，周日百元房的性价比很高，符合我们穷游。', '短评打分': 5}
{'短评内容': '＋不错，前台24小时有人上班，房间也比较干净，离著名的“半边桥老妈蹄花”很近，步行几百米就到了。', '短评打分': 3}
{'短评内容': '房间内部还是比较干净的，但是大床房在9楼，要走一层的楼梯，不是很方便。另外广告牌挡住了窗户，几乎没有彩光，较吵！如果行程较满，不太待在酒店的驴友还比较适合， 不过还是建议住到武侯区，离景点近', '短评打分': 1}
{'短评内容': '干净，位置很好，服务也不错，性价比较高，推荐朋友入住！', '短评打分': 5}
{'短评内容': '这家酒店比较新，设施也很不错，房间很干净、整洁，酒店的服务也很不错，总的来说此酒店的性价比非常高，值得信赖。下次有机会还会选择这家酒店。', '短评打分': 5}
{'短评内容': '99元特价房超出我的想象，很干净 浴室是透明玻璃隔着能看到房间电视 广告牌对我来说不碍事，虽然靠马路，但那天晚上我还开着窗子，也没觉得吵 性价比很高', '短评打分': 5}
{'短评内容': '房间还可以，希望以后可以多一点特价房间，离市区还挺近的                                                                          ', '短评打分': 5}
{'短评内容': '房间比较干净，周末百元房的价格也是相当实惠，不过房间窗户被广告牌挡住，而且靠近马路边，晚上来往的车吵得人难以入眠。让人欣慰的是，在市中心，靠近人民公园和天府广场，晚上可以出去散散步。离春熙路也不远，想购物也挺方便。总的来说，性价比不错。。。。。。', '短评打分': 5}
{'短评内容': '房间还是有些异味，请好好处理下。房间怎么只有一瓶水的，最起码是2瓶。希望细节方面的服务更到位一些。服务的态度还可以。', '短评打分': 5}
{'短评内容': '位置不错很方便，唯一的缺点是房间的窗户被广告牌遮挡了。', '短评打分': 5}
{'短评内容': '位于市中心，干净卫生，前台办理速度很快。\n16号下午停电，不知什么原因。', '短评打分': 5}
{'短评内容': '很新，很干净整洁，门口就是公交车站，离宽窄巷子步行１５分钟，交通方便，值得推荐', '短评打分': 5}
{'短评内容': '本来订了3天，住1天就走人了，楼下有临街店铺在装修，吵的要命，房间空调对着床吹，不敢一直开着，睡的不舒服。房价也不算便宜，以后不会再住。', '短评打分': 1}
{'短评内容': '除了窗户被广告牌遮住了，其他都还好。谢谢谢谢谢谢', '短评打分': 5}
{'短评内容': '很干净，不错。对面就是如家。\n位置也可以，在人民公园北门。离春熙路1站，离宽窄巷子走过去也不远。\n', '短评打分': 5}
{'短评内容': '窗户是广告牌子挡着，不影响通风，整洁安静，宽敞舒服。很满意', '短评打分': 5}
{'短评内容': '酒店的环境不错，条件很好，隔音效果也很好！而且很规范！下次有机会还会选择汉庭！', '短评打分': 5}
{'短评内容': '不错，很干净', '短评打分': 3}
{'短评内容': '房间不错，就是不大。但是给提供水，糖！非常不错', '短评打分': 5}
{'短评内容': '就是房间不大，但是其他都很好，提供水，糖！', '短评打分': 5}
{'短评内容': '黄精很舒服，房间大，东西也干净，里面还有电吹风，真的很舒适，桌子上有杂质可以看~', '短评打分': 5}
{'短评内容': '房间很大很宽敞，空气流通不是很好，感觉有些异味', '短评打分': 5}
{'短评内容': '新开业的住的很舒服。很干净。服务周到、汉庭一如既往的好', '短评打分': 5}
{'短评内容': '新开业的住的很舒服。很干净。服务周到、汉庭一如既往的好。', '短评打分': 5}
{'短评内容': '服务还不错，房间设施也还行，枕头比较有特色，就是电视机偏小，办理入店手续时间有点偏长！', '短评打分': 5}
