{'短评内容': '酒店位置很好，紧靠高铁，服务人员很热心，态度很好，但是提个意见，床单被罩太差，床单被罩质量不好，被子也不干净！', '短评打分': 4}
{'短评内容': '干净卫生，还不错', '短评打分': 4}
{'短评内容': '就是空调坏了', '短评打分': 5}
{'短评内容': '服务很好，环境特别好', '短评打分': 5}
{'短评内容': '服务超级好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好，离万达广场挺近，步行几分钟就到了，很干净，不错', '短评打分': 5}
{'短评内容': '不错，不错，不错，不错。。。', '短评打分': 5}
{'短评内容': '很不满意，商家标注地理位置不准确', '短评打分': 5}
{'短评内容': '基本满意，道路交通不太方便', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还可以 还不错', '短评打分': 4}
{'短评内容': '总体来说还可以吧。', '短评打分': 4}
{'短评内容': '还可以，房间挺大。', '短评打分': 5}
{'短评内容': '十一去的，三百多，太坑了。。。', '短评打分': 4}
{'短评内容': '距离高铁站很近，周边商场餐馆比较少，所有景点玩过，准备返程住尚可优最佳', '短评打分': 5}
{'短评内容': '房间不错  价格合理', '短评打分': 4}
{'短评内容': '服务态度很差，一个石头卖给你几百块！', '短评打分': 2}
{'短评内容': '还好吧，附近也没有别的去处，只能选择此处。', '短评打分': 3}
{'短评内容': '不错的酒店，到办事的地方和高铁站都很近。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '前台服务很给力，尤其是18号值晚班的服务员，微笑，热情，周到，谢谢你帮我叫来出租车，下次还会入住。', '短评打分': 5}
{'短评内容': '可以，--------------------------------------------------------', '短评打分': 5}
{'短评内容': '性价比挺高，不错！', '短评打分': 3}
{'短评内容': '酒店很好 水有点小。', '短评打分': 3}
{'短评内容': '房间干净卫生 就是位置稍微有点偏', '短评打分': 3}
{'短评内容': '比较偏僻', '短评打分': 3}
{'短评内容': '环境很好 这是我第二次入住了  很舒适  我发现的缺点是浴室下水道下水慢  洗澡时水会溢出浴室', '短评打分': 5}
{'短评内容': '房间很干净 很宽敞\n但晚上房间没有暖气  只有空调 可是空调不给力\n冻死人了', '短评打分': 3}
{'短评内容': '条件不错，虽然位置有些偏，但是因为泰安本身就不大，所以打车钱也不多。', '短评打分': 5}
{'短评内容': '房间不错，就是位置有点偏，找找比较困难，不过工作人员很热情，到路口给我来带路。很是感激。', '短评打分': 5}
{'短评内容': '   在经济型酒店中，尚客优（泰安泰山店）还算干净、整洁，离泰山景区不远，开车大概十分钟就能到天外村。据说是全国连锁酒店，但其它地方的店还没有住过。', '短评打分': 5}
{'短评内容': '条件不错，要是在繁华区就更好了', '短评打分': 3}
{'短评内容': '我已经入住勒谢谢', '短评打分': 3}
