{'descr': '服务很好，还有早餐供应。', 'star': 5}
{'descr': '订单定的和现实差别太大了！没有窗户，还不给配合退房', 'star': 1}
{'descr': '服务很好！环境不错！地理条件优越，很好找！', 'star': 5}
{'descr': '体验一般', 'star': 2}
{'descr': '从携程上订的最便宜的无窗大床房，实际房间窗户是有，只是打不开。房间干净，床是一米五的，有吹风机，无线网速度中上。服务一般，我到了前台没人，站着等半天，结果发现是在一边玩手机呢。', 'star': 4}
{'descr': '挺好的挺好的', 'star': 5}
{'descr': '酒店环境不好，好多送卡片的。比较老。', 'star': 5}
{'descr': '挺好的，不错啊', 'star': 5}
{'descr': '酒店比较老，不咋地。只是我觉得方便', 'star': 5}
{'descr': '环境比较差点', 'star': 3}
{'descr': '酒店不错，暖气很热乎，房间刚好，前台服务也好，周边环境也可以，但是对于我这种懒蛋蛋来说，有一段路才有吃的，确实挺艰难的，', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '环境还可以，空调挺好的，住的挺舒服', 'star': 5}
{'descr': '朋友推荐的，交通方便！', 'star': 5}
{'descr': '服务态度挺好的，就是隔音一般。', 'star': 4}
{'descr': '有空调，wifi速度一般，隔音一般', 'star': 4}
{'descr': '晚上有不自觉的客人大声吵闹', 'star': 4}
{'descr': '隔音较差', 'star': 5}
{'descr': '环境可以，房间干净', 'star': 5}
{'descr': '出门打车不太好打。。。\n其他的都不错。。', 'star': 5}
{'descr': '变得越来越坏了，卫生条件很不好，主要是当小时房利用了，搞的乱七八糟的。', 'star': 1}
{'descr': '服务周到 环境好', 'star': 3}
{'descr': '緊鄰華苑，和西北快速，交通很便利，周邊餐飲和娛樂的地方也很多', 'star': 5}
{'descr': '不错,值得推荐', 'star': 3}
{'descr': '总体感觉还行，位置稍微偏僻点，停车比较乱', 'star': 5}
{'descr': '酒店还算干净，地理位置不算太好，周围没什么吃饭的地方，服务员态度一般。', 'star': 3}
{'descr': '我出差时长住汉庭,房间内干净,设施配置全,交通方便,经济实惠.', 'star': 3}
{'descr': '住着很舒服，就是吃饭不太方便，四周吃饭的地方不多。', 'star': 5}
{'descr': '这里离大学城比较近。出行比较方便。就是早餐太贵，30元一位。', 'star': 5}
{'descr': '酒店不错，挺干净的。', 'star': 3}
{'descr': '该宾馆靠铁路，噪声太大', 'star': 3}
