{'短评内容': '不知道好不好', '短评打分': 5}
{'短评内容': '没有早餐吃的，要自己在外面买', '短评打分': 4}
{'短评内容': '非常好的旅行体验，物超所值', '短评打分': 5}
{'短评内容': '非常的棒！房间简单温馨，基本设施齐全。老板娘人特别特别好，免费升级了房间，带阳台的，就在最繁华小吃街的巷子里，却是闹中取静，每早还有鸟叫的声音，舒适惬意，全五分推荐', '短评打分': 5}
{'短评内容': '位置好找，干净整洁', '短评打分': 5}
{'短评内容': '服务好态度好，下次还回去。', '短评打分': 5}
{'短评内容': '干净整洁，老板很热情', '短评打分': 5}
{'短评内容': '店家免费升级了房间，有个阳台可以晾衣服，房间很小，窗户通风挺好，晚上都不用开空调，但岛上蚊子巨多，晚上不记得插蚊灯就悲催了。不是旺季，价格较亲民。但床品不是纯棉的，晚上睡觉居然有静电，有点难以接受。', '短评打分': 4}
{'短评内容': '房间很小，在一楼，窗户离外面围墙较近，通风不算好，但开了空调就无所谓了。床铺稍偏硬，两位老人家睡得还算舒服。不是旺季，价格较亲民。', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还不错，我们这次选在了4楼，虽然是搭建出来的房间，但很干净，挺温馨得，特别是外面的阳台超棒的，走累了回房间坐在阳台上边喝茶边观赏夜晚的日光岩', '短评打分': 5}
{'短评内容': '非常好，当时定的时候并不抱希望，但是可以说算是鼓浪屿之行的一个惊喜', '短评打分': 5}
{'短评内容': '很有情调！', '短评打分': 5}
{'短评内容': '好、好，好、好、好。超值。', '短评打分': 3}
{'短评内容': '老板很热情，家庭式旅店，老板一路指引找到，鼓浪屿算是寸土寸金的地方，春节期间出行就是凑热闹，到处都很挤，旅馆自然也很挤。', '短评打分': 4}
{'短评内容': '老板很热情，家庭式旅店，老板一路指引找到，鼓浪屿算是寸土寸金的地方，春节期间出行就是凑热闹，到处都很挤，旅馆自然也很挤。', '短评打分': 4}
{'短评内容': '位置很好，位于岛中间。沿小路走出去就是闹市，但神奇的是旅店很安静，一点都不吵。旅店的老板一家都很好很负责，老板娘很热情很健谈。楼顶有晾衣服的地方，也有衣架夹子提供，很是方便。房间设施也齐，甚至还有风筒。作为这个价位的家庭旅馆，真的十分推荐！期间在岛上去过几间旅馆，不是价格贵就是位置不好，要不就是老房子有霉味。相比之下这间算是十分十分不错了！性价比一流！强力推荐到岛上的住的朋友选择！但是房间很满，推', '短评打分': 5}
{'短评内容': '旅馆主人很好相处~~旅馆是民宅改建的，很有家的味道，地理位置也很好，很方便！我们订的是30号的温馨大床房A，房间很大，很干净，设施很全，还带电脑的~~最好是带了一个独立阳台，我们一入住就洗了一大堆衣服~~~真的很喜欢~~~以后去还会住小木屋的！！！！！赞一个！！！', '短评打分': 5}
{'短评内容': '很有爱，到厦大很方便，房间也很美', '短评打分': 3}
{'短评内容': '时间太匆忙没拍照片，老板娘人很好，很热情。房间里面设计的很温馨，吹风机啊都有的，跟外面酒店的设备都差不多。最爽的是超大屏的显示器，上网看电视都很爽（一开始没看贴的温馨提示，电视机的使用方法是小朋友帮我们设置的哈哈）。还有个后门，方便晚上出去吃夜宵，逛夜市啥的', '短评打分': 5}
{'短评内容': '态度非常好，虽是家庭旅馆，但很干净，房间很舒服，塌塌米设计的利用空间，厕所也干净，推荐，下次还会选择这家，老板娘发来的短信线路很好找，就在龙头路边上，闹中取静', '短评打分': 5}
{'短评内容': '酒店不错，虽然开始没找到，一打电话，老板信息指引很容易就找到了，老板老板娘态度很好，房间很干净，适合情侣一类及家庭居住，很有休假感觉', '短评打分': 3}
{'短评内容': '旅馆离龙头路很近，去之前最好跟老板娘先电话联系路线。老板娘很热情。', '短评打分': 5}
{'短评内容': '地方不错 ， 离龙头路很近，  闹中取静。老板一家很热情，有电脑可以上网，就是浴室太小了一点。房间手机信号不好。。。。。', '短评打分': 5}
{'短评内容': '**，大大的坑，民宅改建的旅店伤不起，晚上停电啊！4点睡不着啊！老板还说不管事啊！最后费了一大番口舌才肯退100块，哎，好伤心~我要的不是钱啊，我去旅游都是想图个开心啊~超级失望~', '短评打分': 1}
{'短评内容': '空调不给力。离龙头路比较近，离海边较远。', '短评打分': 1}
{'短评内容': '空调不给力，打了一整夜，温度降了5度。空间小', '短评打分': 1}
{'短评内容': ' 这次去厦门和老公 妹妹 在荷香楼住了3天，这里真的是闹中取静，去玩 去吃 都很方便，老板娘的热心和耐心让我觉得温馨，像是去阿姨家做客，房间设计的很好，物尽其用，很干净，两个妹妹住的也很开心，连平时苛刻的老公也觉得不错，我想下次如果我还来厦门 我的选择依旧会是这里。。。。', '短评打分': 5}
{'短评内容': '鼓浪屿岛上的旅馆都这样啦，随便住住的，不过老板比较热情，总体不错。', '短评打分': 5}
{'短评内容': '自家房子改造的，肯定没有酒店住的舒适了，好在东西都还挺齐全的，老板也很客气。鼓浪屿上住宿普遍都贵，这个价格也还可以了', '短评打分': 1}
{'短评内容': '旅馆的小巷转出就是龙头路,但是旅馆位置真的很宁静,室内设施也挺好的,主人也很亲切热情哦~', '短评打分': 5}
{'短评内容': '感觉不错,小温馨,离龙头路比较近,但是从哪个路口拐进来,还是需要指点的,第一次可能要摸一下,再回来就方便多了', '短评打分': 5}
