{'短评内容': '酒店位置很好找 ，有停车场 ，早餐品类有点少 ，不过味道还不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '周边虽然简陋，但酒店里有自己餐厅，不算贵，分量足', '短评打分': 5}
{'短评内容': '早餐的服务员态度很好，特地做了一份牛杂粉。房间虽然简陋，该有的还是有的', '短评打分': 5}
{'短评内容': '酒店环境好，空气好！', '短评打分': 5}
{'短评内容': '公司买东西都是京东，信赖他们', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '景色好，服务好，北海不错的度假酒店', '短评打分': 4}
{'短评内容': '房间太小了，隔音效果也不太好。但是一栋一栋的小楼住着也挺好的，每栋楼间的绿化做得不错，住一晚还行，情侣就免了吧！', '短评打分': 4}
{'短评内容': '非常满意，很安静。', '短评打分': 5}
{'短评内容': '朋友来旅游当定了，非常满意。', '短评打分': 5}
{'短评内容': '住的很舒服。首先房间的布局比较家庭，因为附近就是小区，所以特别安静也有家的感觉，出来吃饭也方便。最重要是前台姐姐特别好，给个好评给前台同事。', '短评打分': 3}
{'短评内容': '好评，感觉很方便，接待态度非常好，很满意，第二次入住拉。', '短评打分': 3}
{'短评内容': '晚上很安静，住得很方便，推荐。', '短评打分': 3}
{'短评内容': '房間有點小，其他還好，別墅型。', '短评打分': 4}
{'短评内容': '挺好很舒服喜欢安静的环境', '短评打分': 3}
{'短评内容': '一家不错的别墅性质的旅馆，很安静，房间给的设施很齐全，采光明亮，最让我留念的是床上用品，对于我们这样出来旅游的游客，身体上是很疲惫的，难得有一张舒适的床，舒适的枕头，还有柔和的被子，让我是晚晚无梦，一觉到天亮！唯一不方便的就是离银滩太远了点！如果有要去北海旅游的朋友需要安静的环境可以选择紫轩阁假日酒店，会让你身心轻松调整好一天的疲惫！', '短评打分': 5}
{'短评内容': '这个酒店挺好，感觉比较温馨，就是离银滩远了点', '短评打分': 3}
{'短评内容': '很安静舒适', '短评打分': 3}
{'短评内容': '性价比不高', '短评打分': 3}
