{'短评内容': '信号很差', '短评打分': 4}
{'短评内容': '还不错真的很棒', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '最大的房间挺好的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺不错的还行吧&hellip;&hellip;', '短评打分': 5}
{'短评内容': '第一感还可以，细看脏乱差！', '短评打分': 3}
{'短评内容': '入住好几次，感觉都不错', '短评打分': 5}
{'短评内容': '可能住习惯了，感觉还是这里好', '短评打分': 5}
{'短评内容': '很赞', '短评打分': 5}
{'短评内容': '位置比较有优势，离火车站还有最繁华的厦禾路很近，前台服务热情周到', '短评打分': 5}
{'短评内容': '蛮不错的哦…', '短评打分': 5}
{'短评内容': '原来这种房型是无外窗的，只有过道窗，空气不流通。携程也不说明一下，不靠谱。幸亏前台帮我升级了房间，赞一个！', '短评打分': 4}
{'短评内容': '原来这种房型是无外窗的，只有过道窗，空气不流通。携程也不说明一下，不靠谱。幸亏前台马上帮我升级了房间，赞一个！', '短评打分': 4}
{'短评内容': '不怎么样，房间都太小了，但是服务态度挺不错的', '短评打分': 3}
{'短评内容': '太差设施', '短评打分': 2}
{'短评内容': '其实心里是不愿意推荐的，说是窗较小，实际上就是在走廊就开了个气窗，很不安全，通风不好。建议下次酒店能注明是内窗房，而不要仅仅写部分房间窗较小，误导顾客。', '短评打分': 5}
{'短评内容': '房间舒适，数字电视很多功能，有电脑使用，离汽车站、火车站都很近。', '短评打分': 5}
{'短评内容': '房间还不错，设施都很齐全，就是楼下在搞装修有点吵，等装修好了应该会好点吧', '短评打分': 5}
{'短评内容': '楼下在装修，一大早就开始吵了。前台的服务员态度极不耐烦。房间还可以，装修的不错。', '短评打分': 3}
{'短评内容': '前台穿的肉影肉现。。。。阿弥陀佛。。。。。。。。。', '短评打分': 5}
{'短评内容': '比想象中好，美中不足是付款不能刷卡，希望改进！', '短评打分': 5}
{'短评内容': '我住的商务标间里有许多蚂蚁，让人非常不爽，实在不值这个价。如果是200左右的话可考虑入住。', '短评打分': 1}
{'短评内容': '很干净，房间设施都不错，离火车站也近，就500米左右的路，值得推荐', '短评打分': 5}
{'短评内容': '酒店无大堂只有一层就是一家商务宾馆，房间设施还可以，但是前台的服务太差，酒店无早点，床太硬，卫生间的淋浴头是坏的，性价比不高。', '短评打分': 1}
{'短评内容': '商务大床房有电脑 卫生也不错 就是房间小了点 大堂不在一楼', '短评打分': 5}
{'短评内容': '挺卫生的，  离火车站也近，   便利。', '短评打分': 5}
{'短评内容': '距火车站很近，卫生条件很好，设施齐全，出行很方便呦。', '短评打分': 5}
{'短评内容': '房间干净卫生，液晶壁挂电视看着舒服，窗户小了点也还可以。住着舒适。。但是，酒店房间的介绍让人误会有免费电脑，实际上只有宽带接口，无电脑。', '短评打分': 5}
{'短评内容': '绝对推荐。非常舒适，位置好 ，安静，干净，相当不错，前台两位美女很亲切', '短评打分': 5}
{'短评内容': '位置离火车站很近 走着10来分钟把 吃饭也很方便 附近有乐购 就是 宾馆是在3楼 当天碰伤电梯坏了 要爬楼梯', '短评打分': 5}
{'短评内容': '酒店很干净装修很新服务很好我很满意', '短评打分': 3}
{'短评内容': '酒店服务周到。布置也还温馨。。就是唯一缺点就是顶楼的E型房没窗户', '短评打分': 5}
