{'短评内容': '设施不完善', '短评打分': 3}
{'短评内容': '不适合带家人', '短评打分': 2}
{'短评内容': '交钱预定了，系统显示正在确认中，结果到店以后说没房了，然后说一会就退款，结果人一离开那里，系统就显示订单确认，不能退款，草泥马的坑人，都没入住', '短评打分': 1}
{'短评内容': '临时住  地下室  卫生一般，条件一般，人少时房价便宜  旅游季涨价，临时落脚点，还是比较便宜实惠的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '没空调，还凑活，毕竟很便宜', '短评打分': 3}
{'短评内容': '啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '经济实惠！不错不错', '短评打分': 5}
{'短评内容': '老板奸商其他还好', '短评打分': 5}
{'短评内容': '黑心老板奸商返现不给，你离店了，订单取消说你没住过来返现不给了', '短评打分': 1}
{'短评内容': '不错，老板好人，给我们一个窗户的房间', '短评打分': 5}
{'短评内容': '不错，老板人很好，看我们有小孩给我们一个带窗户的房间', '短评打分': 5}
{'短评内容': '距离地铁站较近', '短评打分': 4}
{'短评内容': '服务态度非常好。', '短评打分': 3}
{'短评内容': '服务态度好，卫生方便，5分好评!', '短评打分': 5}
{'短评内容': '今天住宿条件非常好！服务周到热情！环境舒适，地理位置中心！是最好最满意的一次旅游！下次还会来这里住宿！希望大家选择！老板娘很有诚信！我是在网上预定的！真是物超所值！再此感谢这里的老板娘的热情服务哦！', '短评打分': 5}
{'短评内容': '地理位置不错，经济又实惠，适合穷游的，房间不隔音', '短评打分': 3}
