{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般般，很老的设施了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老酒店了 设施比较陈旧 但单人床很宽 且硬床和荞麦皮枕头真心舒服 房间面积大 灯也亮堂 淋浴水很冲也很热 早餐很一般 是住过的唯一一个连生鲜蔬菜(蔬菜沙拉)都没有的酒店 房间卫生差评 毛巾硬硬的 吹风机上缠着长发 刷牙杯里一块牙膏污渍赫然醒目', '短评打分': 4}
{'短评内容': '早餐还可以吧，有停车场', '短评打分': 5}
{'短评内容': '一直都住这', '短评打分': 5}
{'短评内容': '每次出差都住这酒店，习惯了，酒店服务设施都还行吧！吃饭及交通都比较方便，一个人出差在外这里比较适合我。', '短评打分': 4}
{'短评内容': '位置不错，价格也便宜!位置不错，价格也便宜!位置不错，价格也便宜!位置不错，价格也便宜!位置不错，价格也便宜!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很不错，在省电力公司边上', '短评打分': 5}
{'短评内容': '有点旧的酒店，但离我办事的地点近，次次来武汉我都住这。', '短评打分': 4}
{'短评内容': '设备有点老，其他OK', '短评打分': 4}
{'短评内容': '交通方便，酒店服务态度好，服务员还专门帮我到马路上叫出租车，让我感动。酒店价格合适，酒店地理位置特别方便，逛街吃饭都很方便，最主要是价格还比较有优势，位置就在东湖边上，没事可以就进去逛逛。下次还会推朋友过来！！！', '短评打分': 5}
{'短评内容': '房间比较宽，环境不错，离东湖近。服务也很好！很满意！', '短评打分': 5}
{'短评内容': '非常棒的四星级酒店，各方面都很不错，位置就在东湖边上，没事可以就进去逛逛。  酒店服务很不错，早餐可能是去太晚了，东西不太多，其他均OK。', '短评打分': 5}
{'短评内容': '豪华感，比较大。交通比较方便。到汉口青山都方便，就是车位太少拉。每次都是满的，希望以后可以增加点。其它都还满意。可以的~值得去住。', '短评打分': 5}
{'短评内容': '住几天，感觉不错，豪华舒适。就是车位较少，不方便停车。价格再便宜点就好了。另外前台MM比较漂亮哈&middot;&middot;&middot;', '短评打分': 5}
{'短评内容': '客人住了几天，感觉还不错，比较豪华，价格不算便宜，地理位置也比较正，旁边就是东湖了，就是停车位太少，比较挤，有时候要抢。', '短评打分': 5}
{'短评内容': '住得不错，我是出差顺便带父母来武汉玩，老人开心我就开心，下回出差还。', '短评打分': 5}
{'短评内容': '价格稍稍偏高', '短评打分': 3}
{'短评内容': '丫头在东湖中学参加中考，为她订了这个酒店。卫生条件不错，晚上非常安静。早餐种类少了点，还可以。', '短评打分': 5}
{'短评内容': '该酒店是大学城附近规格较高的一家酒店，卫生较好，早餐也不错！', '短评打分': 5}
{'短评内容': '这个酒店住了两次，性价比还好，就是酒店设施比较陈旧，洗澡时下水比较慢，干净尚可。', '短评打分': 5}
{'短评内容': '价高质次服务一般', '短评打分': 3}
