{'短评内容': '早餐种类很多，特别好吃', '短评打分': 5}
{'短评内容': '北京涉外的酒店需要提前咨询，有一些酒店不接接待外国人，所以一定要问清楚。这一家汉庭酒店是可以接待外国人的，我在携程上订了他们家的酒店房间，上面写着内宾，意思是只有中国人才能入住，但是到了酒店之后，也让外国人check in了。不错。', '短评打分': 4}
{'短评内容': '周边就是著名的景点，天坛公园，对面就是一条河，景色还行，交通有点不太方便，离最近的地铁站有一公里。这边适合外国人旅游来逛，周边有很多商场，到秀水也不远。特别是红桥商场，全是老外。', '短评打分': 4}
{'短评内容': '酒店离景点很近，交通便利，设施齐全，也很干净。买的双床房还有早餐赠送，性价比比较高，大家不错的选择。', '短评打分': 5}
{'短评内容': '提前一个月订的，价格还是比较划算的，屋里还好，干净。', '短评打分': 5}
{'短评内容': '离天坛很近，值得推荐。', '短评打分': 5}
{'短评内容': '我喜欢这种感觉！', '短评打分': 5}
{'短评内容': '住的很舒服，感觉很好！', '短评打分': 5}
{'短评内容': '房间很小，价格比门店贵，还不含早，晚上下单比上午差很多', '短评打分': 3}
{'短评内容': '汉庭这两个字、达到了', '短评打分': 5}
{'短评内容': '没有成功啊，退定了，还好我及时从其他渠道定到了，定的时候显示有放房的啊', '短评打分': 5}
{'短评内容': '条件还不错', '短评打分': 4}
{'短评内容': '条件还不错', '短评打分': 4}
{'短评内容': '总体还是非常满意的，办理入住离店都很快，环境不错，交通非常的便捷，很有北京味道，下次来北京还住这儿！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通还算便利', '短评打分': 5}
{'短评内容': '还可以啦，性价比很高。', '短评打分': 5}
{'短评内容': '感觉不错，卫生挺好，。但是总体酒店的性价比比较高。坐车什么的都比较方便，值得去预定，服务也挺好的呀。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常不错，好评', '短评打分': 5}
{'短评内容': '房间太小，设施还较干净，吹风机不能用', '短评打分': 4}
{'短评内容': '不错，离同仁堂很近，很方便，已经住了几次了。方便', '短评打分': 5}
{'短评内容': '环境不错、交通方便、卫生不错、房间较小', '短评打分': 5}
