{'短评内容': '房间满大，新来的前台动作很慢。', '短评打分': 3}
{'短评内容': '我4月份去的、一直忘记点评了、这家店的老板娘人超好的、就是那次去的时候蚊子有点多、但是不影响什么、老板娘还给我升了大房间、呵呵', '短评打分': 5}
{'短评内容': '还行！！！交通方便，去夏大方便！周围的烧烤很多，也不错！老板娘待人不错！', '短评打分': 5}
{'短评内容': '设施很一般！就是非常普通的家庭式旅馆。卧室和卫生间居然隔了一个厨房，这也就算了，卫生间朝里的玻璃窗居然是透明的！而且我们当时去的时候卫生间的灯还坏了。 \n蚊子挺多的，不过给了蚊香片，虽然没什么效果。\n离厦大是很近，就在芙蓉隧道出口处1公里以内。交通比较方便。', '短评打分': 1}
{'短评内容': '老板娘人很好。我是为了去考试的，所以一直都关在旅馆里，呵呵。离厦大公寓很近，就在公交车站边上。', '短评打分': 5}
{'短评内容': '老板娘人很好，免费给我们升格了房间，因为一直下雨，一间带阳台的房子，很舒适呢。服务也很周到，他家的房子虽然不太好找，但是却是供不应求，我们退房的时候就有人来要房呢！到了打电话，老板娘会出来接的，亲，不用担心找不到哦！', '短评打分': 5}
{'短评内容': '今天是假期价格，稍贵点点，但比起老板的热情服务也就没什么了。推荐一个', '短评打分': 3}
{'短评内容': '老板很热情，服务相当好。房间一般，但温馨', '短评打分': 3}
{'短评内容': ' 环境一般般，不过老板服务不错。靠近厦大，可以考虑走芙蓉隧道。总体性价比好。', '短评打分': 3}
{'短评内容': '总体还不错，房间干净温馨，老板人很热情。', '短评打分': 5}
{'短评内容': '服务热情、房间干净，我们定了2间，老板考虑很周到，帮我们安排在一起。美中不足的是，春节天气太冷，没有制热空调，感觉有点冷，好在老板给我们加了床被子。', '短评打分': 5}
{'短评内容': '环境不错，房间也干净，下次来会继续住。美中不足比去哪儿团购价高出太大。', '短评打分': 3}
{'短评内容': '地理位置不错，交通方便，店内环境什么算干净，服务态度也可以', '短评打分': 5}
{'短评内容': '我们是第一次到厦门玩路线什么都不懂老板好热情头一天就发了一条信息给我们告诉我们怎么走，说到了打个电话有人来接，真的我们一到打了个电话老板亲自过来接，一分钟就到了，带我们去房间，房间好漂亮，干净，设备齐全，老板真的是非常热情，他把附近旅游景点，和公交车线路都告诉了我们怎么走，咋样安排，我们准备了一下按照老板的路线走真的好方便门口有3两公交车到附近旅游景点都好方便，附近景点有南普陀寺，鼓浪屿，中山路步', '短评打分': 5}
{'短评内容': '环境还不错！还算满意！', '短评打分': 3}
{'短评内容': '老板人很好，服务很周到，非常热情，房间干净整洁，附近都是旅游景点，鼓浪屿，中山路步行街，胡里山炮台，南普陀寺，植物园，博物馆，怪坡，白城沙滩，、、、、、门口就有好多公交车好方便，谢谢你们在入住过程中给与的帮助，下次带朋友去还住你们那儿。', '短评打分': 5}
{'短评内容': '这家公寓是由厦大学生公寓改建而成的。房间还算干净。老板与老板娘非常的热情。服务态度很好。', '短评打分': 5}
{'短评内容': '纯坑爹！真心纯坑爹啊！纯坑爹！真心纯坑爹啊！纯坑爹！真心纯坑爹啊！纯坑爹！真心纯坑爹啊！', '短评打分': 1}
{'短评内容': '这家旅馆有点怪，它实际上是老板在居民楼里买的或租来的民房，冠以某某公寓的名字，我不知道“北京饭店”“希尔顿”或其它一些名牌饭店是否买一些或租一些房子也能冠以同样的名字。公寓房价100多，不值，70-80似乎更合理一些。我在公寓住了大约5天，我除了见过老板和临走时见过一个清洁员，没见过酒店的其它人，也没去看过该公寓的总部，房间里没电话，我要找老板需要用手机打长途。据老板自己说，他没有营业执照，如果要', '短评打分': 1}
{'短评内容': '这家老板超级好的。女朋友身体不舒服，老板娘还好心熬粥给我们喝。真的是太感谢了！以后有机会去厦门还去你那。谢谢老板咯！', '短评打分': 5}
{'短评内容': '房间坐落在某小区里，总让人感觉不舒服。很不正规的感觉。房间倒还干净。旁边就是学生公寓。倒是离海边很近。。只是不知道这种经营方式是不是合法的啊', '短评打分': 5}
{'短评内容': '推荐给来厦门自助游的学生，房间舒适宽敞，性价比较高，地理位置不错，就在厦门大学旁边，离环岛路近，交通方便，老板人很好。这次旅行很开心。', '短评打分': 5}
{'短评内容': '我们因为车次的问题到那里早上八九点，因为客满都还没有退房，所以没有办法入住。老板夫妇都是很善良、热心的人，脾气很好，给我们了较好的安排。等待期间老板上6年级的儿子跟我们聊天，他是个很热心的小向导，给了我们不少建议。这里里海边很近。步行10分钟左右可以看到海边，不过这里的水质没有胡里炮台的好。这里环境很卫生，需要的生活设施都有，我们去时因为路线不熟找了很久才找到，后来才知道，从厦门火车站做旅游二线终', '短评打分': 5}
{'短评内容': '老板服务态度好，房间干净卫生空气光线好，走路到海边很近，到附近旅游景点都方便门口有公交车，这个家庭旅馆不错，比经济酒店实费', '短评打分': 5}
{'短评内容': '离厦大很近，出去就是环岛路，晚上租自行车玩也方便。房间挺好，就是卫生间有点小，洗澡地上容易积水。老板服务很好。', '短评打分': 5}
{'短评内容': '虽然有点简陋，但价格实惠、房屋空间也蛮大的。', '短评打分': 5}
{'短评内容': '该酒店设施较好，干净、整洁，有个性，值得推荐。', '短评打分': 5}
{'短评内容': '很好~环境，房间不错，交通方便 老板人很好', '短评打分': 5}
{'短评内容': '房间够大，但是交通差点。\n其中有跳闸问题出现。', '短评打分': 1}
{'短评内容': '还可以,挺方便的.', '短评打分': 3}
{'短评内容': '除了门口就是公交车站以外，一个优点都没有，环境差，被子都是漂白水的味道。配件还不齐全。', '短评打分': 1}
{'短评内容': '周围自然、人文景观非常好，据夏大学生公寓很近，不过房间住宿条件有待提高，是比较经济型的酒店', '短评打分': 5}
{'短评内容': '环境过于家居了，卫生间有很大味道，设施也不好，锈迹斑斑，很简陋；而且旁边的饭店很少，很多都没有营业，不是很方便，可能因为我是春节期间入住的原因吧。老板态度还是很热情的，只是室内环境不敢恭维。', '短评打分': 1}
{'短评内容': '老板娘人很好，给了很多旅游线路，酒店就在公交520、20路终点站很近，到环岛路、夏大、中山路、轮渡做车都很方便。', '短评打分': 5}
{'短评内容': '今天入住了卡乐邦，酒店虽小但干净卫生，老板一家和蔼可爱。值得推荐', '短评打分': 5}
