{'短评内容': '经济型，这个价格还有外窗户，环境一般', '短评打分': 5}
{'短评内容': '环境不错，只是隔音效果不是很好', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '地方挺大，环境还是不错的，就是设备老旧了点。', '短评打分': 5}
{'短评内容': '与其叫酒店，不如叫招待所更贴切。周围全是餐饮娱乐，很乱。电梯为公用电梯，一大股异味。房间洗面台只有一个水龙头，只出冷水。房间上面很多潮湿水渍，墙皮脱落。窗户不防盗，门上没有保险栓。楼下网吧可以直接上楼，不属于封闭环境，只有一个楼层大爷守着楼梯口。以上，如实陈述。', '短评打分': 1}
{'短评内容': '有异味，卫生间，又烂，又小整体感差。', '短评打分': 3}
{'短评内容': '还可以吧，住了十几天.还好吧……', '短评打分': 5}
{'短评内容': '还可以吧，没有住过别家的酒店', '短评打分': 4}
{'短评内容': '酒店比较陈旧，设施比较简单，但还干净', '短评打分': 4}
{'短评内容': '还行，交通便利，隔壁还有很多东西吃', '短评打分': 3}
{'短评内容': '酒店价格便宜，但是下面大排档太吵了，网络也很差', '短评打分': 4}
{'短评内容': '服务好！！很干净！！交通便利！！！！！', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
