{'短评内容': '比较老的酒店', '短评打分': 3}
{'短评内容': '酒店虽然有点陈旧，设施都还好！卫生也还整洁，价格合理！值得商旅出差住宿，高楼层很安静，下次来泗洪我还选凤凰！', '短评打分': 5}
{'短评内容': '环境服务态度非常好，安溪的风景非常棒，人土乡情非常好，以后到安溪定期住在这里了，这次安溪之行收获满满，安溪你好', '短评打分': 5}
{'短评内容': '值得拥有住', '短评打分': 4}
{'短评内容': '算是泗洪高档宾馆，', '短评打分': 4}
{'短评内容': '酒店房间卫生，宽敞，地理位置也很好，出行方便.', '短评打分': 5}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的挺好的', '短评打分': 5}
{'短评内容': '酒店有点老了', '短评打分': 5}
{'短评内容': '酒店中央空调实在不行，晚上冷的不行！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '老酒店了。整体感觉不错，就是装修老旧。不过出差住一下还可以。也没什么选择了。', '短评打分': 5}
{'短评内容': '性价比不错，下次还会入住，早餐不行', '短评打分': 3}
{'短评内容': '县城能有四星且价格比较实惠的非常难得，住宿条件很满意', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '在小县城已经算很不错了。 小县城的发展很不错，下次再住。', '短评打分': 5}
{'短评内容': '唉！也没多好的地方了！', '短评打分': 3}
{'短评内容': '不错的酒店，我下次去泗洪还会继续入住凯悦凤凰国际酒店。', '短评打分': 5}
{'短评内容': '在泗洪已经相当不错的酒店了。！！！！！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置不错,设施也还行,面积小点儿,总的来说还不错。', '短评打分': 5}
{'短评内容': '在目前的泗洪县，这家酒店已经使很不错的了。', '短评打分': 5}
{'短评内容': '＋硬件不错，服务也行，小件不行，电子称坏的，电吹风、浴袍没有。', '短评打分': 5}
{'短评内容': '房间设施倒是可以，服务态度就比较一般，位置一点也不好找。价格还是比较适中。', '短评打分': 1}
