{'短评内容': '比较满意，下次还会选择预定，100分', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友很满意的一次推荐，天心阁、黄兴南路步行街近在咫尺，特别对楼下的老字号鱼头店赞不绝口。', '短评打分': 5}
{'短评内容': '酒店就在天心阁景区对面，交通便捷，步行就可以去，杜甫江阁、黄兴南路步行街都非常近，各种小吃可以体验。下次继续选择。', '短评打分': 5}
{'短评内容': '酒店就在天心阁对面，邻近黄兴南路步行街、坡子街，去江边散步、杜甫江阁也非常方便，都正古街晚上去走走感觉不错。', '短评打分': 5}
{'短评内容': '去长沙住过多次的酒店，天心阁下，交通便捷，离黄兴路步行街非常近，逛街、吃饭非常方便，地铁开通后更好了。', '短评打分': 5}
{'短评内容': '酒店比较老了，整体还行。', '短评打分': 3}
{'短评内容': '就在天心阁边上，对面还有简牍博物馆，房间很大，就是设备太陈旧了，感觉没啥人入住，中心地段应该都在五一广场周围，晚上很安静，有自己的停车场！', '短评打分': 4}
{'短评内容': '对于省会城市来说这个价格OK', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务挺好的，就是到步行街挺远的', '短评打分': 3}
{'短评内容': '环境好 服务好。', '短评打分': 4}
{'短评内容': '交通便利！性价比高！', '短评打分': 4}
{'短评内容': '性价比高！交通也挺方便！', '短评打分': 4}
{'短评内容': '交通便利，性你比高！', '短评打分': 4}
{'短评内容': '房间除了设备旧点以外，没有什么不好的，毕竟这么便宜的价格。', '短评打分': 4}
{'短评内容': '交通算是比较方便，靠近天心阁。但是，酒店装修比较陈旧，与价格不符，所以不推荐。', '短评打分': 1}
{'短评内容': '酒店太旧了，旧得让人无语。', '短评打分': 3}
{'短评内容': '性价比很高。值得再次入住。', '短评打分': 3}
{'短评内容': '不错。很好。性价比高！', '短评打分': 3}
{'短评内容': '  天心阁大酒店服务不错。', '短评打分': 3}
{'短评内容': '＋一般', '短评打分': 3}
{'短评内容': '交通不很好总之很一般的酒店 还不便宜，大堂到时挺宽敞不过不亮  餐饮贵 菜一般', '短评打分': 1}
{'短评内容': '酒店位置绝佳，步行商业街离得很近，设施有些陈旧', '短评打分': 3}
{'短评内容': '酒店的位置还算不错，只是设施过于陈旧，房间有霉味', '短评打分': 3}
{'短评内容': '设施陈旧，位置还可以', '短评打分': 5}
{'短评内容': '硬件条件比较差一些.位置还行,不过综合来讲还是感觉有些不达标.', '短评打分': 1}
{'短评内容': '洗澡水不热，房间很旧', '短评打分': 1}
{'短评内容': '这家酒店也不错，离景点挺近，周边交通便利，设施也很好，配置餐饮味道', '短评打分': 5}
{'短评内容': '还不错 就是显得老旧了点', '短评打分': 5}
{'短评内容': '感觉这家酒店的整体条件根本达不到四星,连三星的都不如,人员服务也不是很到位,管理不也不规范,卫生环境很一般,性价比挺差的.', '短评打分': 3}
{'短评内容': '实在不敢恭维  还说是什么三星级  根本就……  不多说  反正去了一定会后悔   最大的问题是 酒店的天花板很矮  住着感觉很压抑 很不舒服', '短评打分': 1}
{'短评内容': '服务还是不错的。', '短评打分': 5}
{'短评内容': '千万不要订标准双人房，这种房间价格比门市价格便宜10元，而且是以前的宾馆留下的老装修，很多基本硬件设施都破旧残缺，刚住进去的房间只有一盏灯能亮，后来换了高级标准间，简直是天壤之别，装修全新。还有不要看酒店概况里说的是2005年开业的，2005年之前这里也是个宾馆，只是现在换了名称和管理者，装修了一番。', '短评打分': 3}
