{'短评内容': '好红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '挺好的 房间也特别暖和', '短评打分': 5}
{'短评内容': '很不错啊哈', '短评打分': 5}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '不错，适合一家三口住，也不贵，周边也方便。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '带家里人一起去住的！卫生还行！就是那个服务呀没法说了！刚开房&hellip;转身出去打电话让退房&hellip;这就尴尬&hellip;搞卫生&hellip;需要催好几次&hellip;', '短评打分': 5}
{'短评内容': '每次回去都住这里！感觉挺好的！！！！', '短评打分': 5}
{'短评内容': '没有停车场，房间设施老旧，但是这个价格值当！', '短评打分': 3}
{'短评内容': '越来越差！难以想象的差！第一次定了没热水！而且卫生也差！以前挺好的&hellip;&hellip;以后再也不去了！', '短评打分': 5}
{'短评内容': '入住体验越来越差了，设施陈旧几年都没有更新，冬天暖气不热，空调遥控器又收走了，最后一次住这里了', '短评打分': 3}
{'短评内容': '干净整洁、价廉', '短评打分': 5}
{'短评内容': '没啥大问题，都还可以', '短评打分': 5}
{'短评内容': '环境挺不错的，旁边就是商场。距离小寨也挺近的，很方便', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '卫生很好！房间挺大！设施齐全', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': 'Pay and Zhao Shu Xin were helpfull.', '短评打分': 3}
{'短评内容': 'The location was convenient for food. The rooms were not that good. The service was good, especially from Pay and Zhao Shu Xin, even though Zhao Xin did not speak English, she tried hard and pretty sm', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '是个酒店式公寓改的宾馆，酒店地理位置好，就在南二环边上，楼下就是怡丰城购物中心，商品和吃的应有尽有。最大的人人乐超市就在旁边100米，公交车站就在超市门口，总之一切都很方便。房间很大，每个房间都带有冰箱（中途我换过房才知道），夏天边上超市买点啤酒饮料可以回来冰着喝，衣柜也大，不象经济型酒店那样只有一个挂钩！洗澡水流很急，很舒服！唯一就是手机信号不是太好！', '短评打分': 5}
{'短评内容': '房间宽敞明亮，干净整洁，通风良好，设施齐全，24小时供应热水，水量充足，床超大，很舒服。整体感觉很满意。唯一不足是有时等电梯时间较长。', '短评打分': 5}
{'短评内容': '房间布置不错，床舒服，服务员服务态度好，地理位置好，早餐可以', '短评打分': 5}
{'短评内容': '刚装修，有点味，其他都还好。为什么非要50个字呢，有话则长无话则短啊，真费劲。停车有地下车库，只是不是免费停车，是计时收费的，这使得性价比就大打折扣了。', '短评打分': 1}
{'短评内容': '非常干净、交通还算方便，服务还可以。每个房间都有有烘干功能的洗衣机，这个很不错，每天的衣服可以自己洗，方便经济。', '短评打分': 5}
{'短评内容': '位置不错，但是有一点与宣传不符，就是不是免费停车，而且停车价格很贵', '短评打分': 5}
{'短评内容': '属于酒店式公寓，比较好，但是不足是夜间停车收费，与宣传不符。', '短评打分': 5}
{'短评内容': '从价格太高，条件一般，服务态度到是非常好，', '短评打分': 1}
{'短评内容': '位置比较方便，房间还没有干净，以后还会选择来', '短评打分': 5}
