{'短评内容': '房间很好，唯一不足，床头没地方充电', '短评打分': 5}
{'短评内容': '不会再来了', '短评打分': 2}
{'短评内容': '四年后第二次入住，感觉和之前比差好多，虽然价格还是那么廉价，但设施相当简陋了，服务员基本没什么笑脸，协调一点事都很费劲，不会再来了', '短评打分': 1}
{'短评内容': '没法说 设施太不怎么样了', '短评打分': 2}
{'短评内容': '房间挺好，大', '短评打分': 5}
{'短评内容': '服务有待提高', '短评打分': 3}
{'短评内容': '房间感觉有味道，有点压抑的感觉！', '短评打分': 4}
{'短评内容': '不得不说，真的很好！房间设备和卫生好的没话说，最最重要的是隔音效果很好，离海边也很近，15分钟左右的路程，沿着海边就可以步行至金沙滩，前台的接待也很温柔，如果你是来旅游，这个是值得你体验的好地方，方便快捷', '短评打分': 5}
{'短评内容': '好！服务员非常开朗！热情！外向！素质非常高！', '短评打分': 5}
{'短评内容': '位置不错，服务不错，继续保持。', '短评打分': 5}
{'短评内容': '总体感觉还行', '短评打分': 4}
{'短评内容': '总体还不错，服务偏差，打火机还问收费', '短评打分': 5}
{'短评内容': '凑合～仅仅是凑合～～～', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '房间不错，服务也可以，', '短评打分': 3}
