{'短评内容': '卫生，环境不错', '短评打分': 4}
{'短评内容': '周边环境不是很好，旁边就是农贸市场。隔音效果也不好。电梯里面有股气味，而且还有点闷', '短评打分': 3}
{'短评内容': '还可以，只是稍微有点吵', '短评打分': 5}
{'短评内容': '挺好的，舒服，房间卫生好，环境不错，服务态度好，总之挺好的，建议大家可以去住，主推，哈哈，不是托哈，长宁人', '短评打分': 5}
{'短评内容': '环境很棒，性价比一流，服务态度也很好，值得推荐。床有点硬，房间有烟味，卫生条件一般，绝对对得起这个价格，', '短评打分': 4}
{'短评内容': '县城没几家好宾馆，这家可以入住，旁边有家面条非常好', '短评打分': 4}
{'短评内容': '都还行吧', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '一个字，吵，一整晚没能睡着，路边太吵了，隔音太差', '短评打分': 3}
{'短评内容': '临街很吵，设施有点粗糙，服务态度还可以，卫生打扫不太干净，被子冷硬有点潮。', '短评打分': 3}
{'短评内容': '房间还讲将就！但是不提供发票，停车收费！好无语，不会再选择！！！！', '短评打分': 2}
{'短评内容': '感觉不错，挺喜欢的。', '短评打分': 3}
{'短评内容': '前面的还好，后面那栋住的不舒服', '短评打分': 3}
{'短评内容': '酒店感觉不错，不过服务有待进一步提高。', '短评打分': 4}
