{'短评内容': '酒店位置不错，安静。', '短评打分': 5}
{'短评内容': '早餐品种不多但是还行吧 房间中规中矩 装修设施比较老了 不过卫生倒是很好 很干净 被子枕头什么的没有异味 也很安静 总体还不错吧', '短评打分': 4}
{'短评内容': '有停车场的，早餐一般', '短评打分': 5}
{'短评内容': '还行吧住着', '短评打分': 5}
{'短评内容': '酒店的位置离市区有点远，但房间宽敞，很干净，前台服务很热情，无线网很快，下次来南京还要入住，也会推荐朋友入住。', '短评打分': 5}
{'短评内容': '环境可以，价格也行，就是设施老了', '短评打分': 4}
{'短评内容': '老牌企业宾馆，硬件设备有待提高', '短评打分': 3}
{'短评内容': '条件在大厂还凑活，有早餐，每次有亲戚来都定这里。价格实惠', '短评打分': 5}
{'短评内容': '条件在大厂还凑活，有早餐，每次有亲戚来都定这里。价格实惠', '短评打分': 5}
{'短评内容': '价格实恵，很好', '短评打分': 5}
{'短评内容': '设施太陈旧了，淋浴喷头天女散花，门都无法繁琐，早上还在睡着清洁居然就进来了??', '短评打分': 3}
{'短评内容': '不错，早餐差', '短评打分': 4}
{'短评内容': '房间内的Wi-Fi信号太差，必须要到前台附近才能接收到，需要改进', '短评打分': 4}
{'短评内容': '安静卫生，网速快，服务周到。', '短评打分': 4}
{'短评内容': '还不错安静 住了好几次了', '短评打分': 5}
